Genome	BAr1A.filtered Trimmed Mean	BAr1B.filtered Trimmed Mean	BAr1C.filtered Trimmed Mean	BAr2D.filtered Trimmed Mean	BAr2E.filtered Trimmed Mean	BAr2F.filtered Trimmed Mean	BAr3G.filtered Trimmed Mean	BAr3H.filtered Trimmed Mean	BAr3I.filtered Trimmed Mean	BOr1A.filtered Trimmed Mean	BOr1B.filtered Trimmed Mean	BOr1C.filtered Trimmed Mean	BOr2D.filtered Trimmed Mean	BOr2E.filtered Trimmed Mean	BOr2F.filtered Trimmed Mean	BOr3G.filtered Trimmed Mean	BOr3H.filtered Trimmed Mean	BOr3I.filtered Trimmed Mean	CRr1A.filtered Trimmed Mean	CRr1B.filtered Trimmed Mean	CRr1C.filtered Trimmed Mean	CRr2D.filtered Trimmed Mean	CRr2E.filtered Trimmed Mean	CRr2F.filtered Trimmed Mean	CRr3G.filtered Trimmed Mean	CRr3H.filtered Trimmed Mean	CRr3I.filtered Trimmed Mean	LABRr1A.filtered Trimmed Mean	LABRr1B.filtered Trimmed Mean	LABRr1C.filtered Trimmed Mean	LASAr3G.filtered Trimmed Mean	LASAr3H.filtered Trimmed Mean	LASAr3I.filtered Trimmed Mean	LASCr2D.filtered Trimmed Mean	LASCr2E.filtered Trimmed Mean	LASCr2F.filtered Trimmed Mean	LASYr2D.filtered Trimmed Mean	LASYr2E.filtered Trimmed Mean	LASYr2F.filtered Trimmed Mean	LAWAr2D.filtered Trimmed Mean	LAWAr2E.filtered Trimmed Mean	LAWAr2F.filtered Trimmed Mean	MGr1A.filtered Trimmed Mean	MGr1B.filtered Trimmed Mean	MGr1C.filtered Trimmed Mean	MGr2D.filtered Trimmed Mean	MGr2E.filtered Trimmed Mean	MGr2F.filtered Trimmed Mean	MGr3G.filtered Trimmed Mean	MGr3H.filtered Trimmed Mean	MGr3I.filtered Trimmed Mean	MHr1A.filtered Trimmed Mean	MHr1B.filtered Trimmed Mean	MHr1C.filtered Trimmed Mean	MHr2D.filtered Trimmed Mean	MHr2E.filtered Trimmed Mean	MHr2F.filtered Trimmed Mean	MHr3G.filtered Trimmed Mean	MHr3H.filtered Trimmed Mean	MHr3I.filtered Trimmed Mean	SEr2D.filtered Trimmed Mean	SEr2E.filtered Trimmed Mean	SEr2F.filtered Trimmed Mean	SEr3G.filtered Trimmed Mean	SEr3H.filtered Trimmed Mean	SEr3I.filtered Trimmed Mean
SEr2D2E2F__bin_83	0.39345554	0.017181484	0.023079539	0	0.039793298	0	0	0	0	0	0.03267839	0.06294556	0.07521865	0.18643868	0.06387452	0	0	0	0.00028969778	0.051671628	0.03733363	0.04509669	0.06495854	0.029729845	0.08339438	0.041310303	0.047455743	0.005267211	0	0	0.033826243	0.049476296	0.021732744	0.050782822	0.087413244	0.039345168	0.22241674	0	0.025673596	0.008275139	0	0.04264123	0.0338248	0.056708403	0.020786118	0.14682293	0.09176268	0.07502271	0.06197345	0.22314867	0.24196304	0	0.04079125	0.01247119	0	0	0	0	0.028532106	0.10627269	13.212519	6.0127163	1.9491293	3.3010147	2.889489	9.5494585
CRr2D2E2F__bin_119	3.9095945	0.8550978	0.7618911	0.1548683	1.1065128	0.3080527	0	0.01673863	0	0.92090786	0.53881264	0.5872291	1.3945605	0.72460717	0.9164998	0.08108483	0.14713903	0.037153237	5.5776258	2.602922	3.7161076	10.344287	5.5856786	4.3418274	10.681176	5.5292444	3.3606718	1.5462471	1.3059804	1.1371571	0.35344723	0.69509846	0	4.374474	3.5331023	4.2561913	0.18107255	0	0.30736813	2.692698	0.7841506	3.4321127	13.215126	9.170558	3.1512735	9.657468	5.2515874	5.641149	5.599378	6.7216616	5.2777853	6.567371	2.6810272	2.384846	0.13276489	0	0	0.05520548	0.7572734	4.0495167	4.035346	5.298463	3.7584805	1.96678	3.904758	5.90969
MGr2D2E2F__bin_45	0	0.6593151	0	0	0	0	0	0	0	0.034825075	0	0	0	0	0	0	0	0	0.009574576	0.37025562	0.24856596	0.1201778	0.34910247	0.21903631	0.40173945	0.0015936729	0.14075293	30.617815	23.751976	3.9062176	0.004865655	0	0	0.2859784	0.078757666	0.1249864	0	0	0	0.40690634	0.22338724	0.35829273	19.343452	8.10234	4.041583	47.08872	9.162766	3.3122082	0.37544447	4.8525534	3.3044796	0.008354558	0.28472987	0.16828954	1.4445442	0.12399835	0.17717575	0	1.359883	0.27665585	0	0	0	0	0	6.6865087
LASAr3G3H3I__bin_113	2.950519	7.282906	6.3634214	0.13855647	3.566818	14.680947	0.0056026247	0.14731297	0.05520477	1.84012	3.9788148	1.0973086	6.5320745	3.091117	6.2736144	8.713705	4.9373803	1.5192938	2.0643172	5.4842424	3.9672697	24.942009	31.029217	8.098	15.245639	12.11235	7.054803	0.5525037	0.48263112	1.2349975	27.694466	15.271626	9.970403	4.7013016	16.307163	5.5990214	8.353948	10.880679	21.713985	5.003186	13.89705	3.8919847	1.6026684	2.5468035	1.3258226	1.5382893	2.961601	4.86227	6.135848	9.837306	12.269291	2.2401032	4.459018	3.21119	2.6095443	2.5433125	1.87685	1.8436782	6.903364	8.095362	6.2215495	13.064532	21.525265	0.64844114	0.42200634	3.257366
SEr3G3H3I__bin_100	1.1333933	1.7191538	1.618008	2.227222	2.8682604	3.0434287	0.081666835	0.11689511	0.20360355	0.24435614	0.059089396	0.076700024	0.15807693	0.1171903	0.051462345	0.01608446	0.053011853	0.089785874	0.54903114	0.69026583	0.52504027	0.2717897	0.11386663	0.6317357	1.0220892	1.5884532	0.85418683	0.5143917	0.38630092	0.15872882	0	0	0.053686578	0.53472537	0.3396583	0.25333542	0.120221294	0.027902942	0.047441855	0.10294125	0.093931116	0.17431727	0.4656351	0.46984133	0.05241896	0.2051523	1.067474	0.44894293	0.8858369	3.1790032	0.6991015	0.5006701	0.6838251	0.3983757	0	0	0	0	0.07232209	0.87487364	5.721371	13.540949	6.006192	4.7292814	11.383533	3.93877
BOr3G3H3I__bin_26	0	0	0	0	0	0	0	0	0	9.826178	0.75731754	5.4555044	10.360402	5.85306	5.230568	5.5972533	8.275417	3.0619135	0	0	0	0	0.32739633	0	0	0	0	0	0	0.1344876	0	0.000508365	0	1.233348	3.1540933	0.37978986	0	3.094079	0.30433768	0.30309746	0.30622202	1.9164027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5862577	3.3346698	0	0	0	0	0	0	0.35013092
BAr1A1B1C__bin_127	22.433195	7.0655503	7.8001747	0	1.7412361	1.6848025	0	0	0	1.9110227	0.26273164	0.13558346	1.5000446	1.6156429	0.4625798	0	0	0	1.0524726	2.0009768	2.091598	2.8451443	1.8288269	4.5675187	0.22729035	0.16227308	0.37421376	0	0	0	0.5635837	0.6064561	2.0674186	1.5163825	2.3319523	2.1073117	0.63527536	0.22503985	1.5024405	0	0	0.062084183	0.0021018554	0.025621396	0.045496874	0.0064847292	0.009287293	0.03237771	0.15959752	0.11352667	0	0.9917082	2.246667	1.2492439	0	0	0	0.3527204	0.17181303	0.34910095	4.508732	1.5557048	7.0233364	3.2190685	3.6557326	21.211124
LASCr2D2E2F__bin_32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3463771	2.6261375	4.483812	0	0	0	1.9912808	0	0.5006319	0	0	0	0	0	0	0	0	0	0	0	0	0.066960305	0	0	0.0037547313	3.9806294	0	0	0	0	0	0	0
BAr2D2E2F__bin_8	0.90643454	0.3832971	1.795509	1.6268085	7.4677887	1.2403333	1.6752344	2.0311272	1.4797835	0.03285116	0.18088767	0.38326436	0.17018436	0.049948733	0.33655557	0.52132905	0.5096083	0.41963038	0.057833813	0.2751336	0.6954162	0	0.15908632	0.5083406	0.47236866	0.38814086	0.21075723	0	0	0	0.3172338	0.03303557	0.44093755	0	0.43969575	0.15185305	0.8203805	0.83617866	0.29616672	0	0.06479407	0	0	0	0	0	0	0	0	0	0	0.02324073	0.35687503	0.34611246	0	0	0	1.3581003	0.043366436	0.14463021	0.014639253	0.020983813	3.601356	0.010277327	0	0.044045657
BOr2D2E2F__bin_49	0.07967135	0.10309389	0.22886817	0.40255928	0.2954441	0.18078062	0.022643363	0.03649785	0.06277418	3.7747028	4.3180203	4.055661	10.062882	9.929872	7.493683	2.7203145	3.1011746	1.8050826	0.36754385	0.1553747	0.22344424	0.22117658	0.15307897	0.20041096	0.11626652	0.2260434	0.33299235	0.09130669	0.054823514	0.009419047	0.35616314	0.72068566	0.7031587	0.35730767	1.4770218	0.19921444	0.30169636	0.3399523	0.6838394	0.14686024	0.2879896	0.21818973	0.022189323	0.09090433	0.08661088	0.0032220033	0.026991058	0.0665083	0.12957507	0.2501344	0.008920973	0.2487107	0.18878712	0.2011477	0.25561962	0.34994566	0.14811197	0.15640022	0.34183386	0.22961608	0.8113501	0.33297002	1.042312	1.8613623	3.6807802	6.3615866
