Virus,baseMean,estimate,stderror,statistic,p.value,p.adjusted,site
SEr3G3H3I_vRhyme_unbinned_67,8.849100005058542,-0.550930655155086,0.9113242749829148,0.9922259878878492,0.6088928359827257,0.692663469863997,Moor House
MGr3G3H3I_vRhyme_unbinned_72,21.220681262816804,0.6585194904732109,0.8272112030088848,0.7861548907192315,0.6749764717663114,0.7461351830755176,Moor House
SEr3G3H3I_vRhyme_unbinned_265,50.63462880492766,-1.5423905644605125,0.7530023468351504,4.451383271499736,0.10799270118631321,0.1634320132138458,Moor House
LASAr3G3H3I_vRhyme_unbinned_37,290.98936211986694,3.989375112255519,0.9606298961775379,32.62140193591138,8.248074473854299e-8,8.288169280324423e-7,Moor House
CRr2D2E2F_vRhyme_unbinned_38,312.8426769480137,-2.2149963586822,0.9753894964526322,6.916729676955072,0.03148119679650509,0.056031109181479535,Moor House
SEr3G3H3I_vRhyme_unbinned_157,1.2769275463233676,-1.7419823355211472,3.7874301972559565,1.105462394259714,0.5753761966171902,0.6623463456683168,Moor House
BAr2D2E2F_vRhyme_unbinned_4,2.783834605975726,-1.3201102465080494,1.072555718347369,4.830846079859342,0.08932954096456715,0.13958946628048452,Moor House
SEr3G3H3I_vRhyme_unbinned_87,62.86978095564804,-1.3308656849008114,0.912023290749155,25.883722667787524,2.395637138465778e-6,1.6198537099812996e-5,Moor House
BAr3G3H3I_vRhyme_unbinned_51,16.919311080474305,-1.0292592078730454,1.0966063436805158,13.201856610392724,0.0013591057867972838,0.0036966655516835895,Moor House
SEr3G3H3I_vRhyme_unbinned_140,75.11125808568265,1.4795320935541112,0.8513781275840628,20.0206006208564,4.4934696529165285e-5,2.1179317875473017e-4,Moor House
BAr1A1B1C_vRhyme_unbinned_13,23.844809719471055,-4.42200634711498,0.891431061842735,37.75734316100336,6.3255327255152436e-9,8.3972897741473e-8,Moor House
MHr2D2E2F_vRhyme_unbinned_65,244.95961452365665,6.252786685545628,0.7899353102623358,64.13384429571683,1.1844388925597811e-14,4.760786326483342e-13,Moor House
MGr3G3H3I_vRhyme_unbinned_35,17.675980935224608,0.12930116378460527,0.658349265441598,0.8013938329881825,0.6698530516861707,0.7421725618605582,Moor House
LAWAr2D2E2F_vRhyme_unbinned_80,524.0555909053584,0.5557929422423977,1.029751659431862,14.11011938349138,8.630312197063249e-4,0.002543393431598884,Moor House
BOr1A1B1C_vRhyme_unbinned_37,5.830959716362888,-0.4337332476133857,0.7983906070733302,0.6823805385419988,0.7109236284165094,0.7775559261668095,Moor House
MHr2D2E2F_vRhyme_unbinned_32,1029.734214704671,7.011185864011934,0.7344969707716684,109.57969226788411,1.603511798217926e-24,3.867135953368898e-22,Moor House
LABRr1A1B1C_vRhyme_unbinned_44,95.91022734616739,1.4091939974076135,1.1030281007504499,13.17285219386136,0.0013789594348850133,0.003743629084950496,Moor House
SEr2D2E2F_vRhyme_unbinned_34,59.11954346191622,-2.375052463270186,1.0253816453024578,10.662789551208277,0.004837318331205705,0.010735582247323093,Moor House
BOr2D2E2F_vRhyme_unbinned_9,9.051703670021844,-0.0185697703068158,0.6980077149249523,0.0378133160566847,0.9812709517335328,0.9853567433438044,Moor House
MHr2D2E2F_vRhyme_unbinned_11,1247.5007536713501,5.504144646353151,0.7138629756215625,92.97378495457642,6.4714129892379525e-21,5.202296997459621e-19,Moor House
MGr1A1B1C_vRhyme_unbinned_8,6.970545934156945,0.14778670721191145,0.7609794241200772,0.14337274919218856,0.9308227797079612,0.9485215227024084,Moor House
LABRr1A1B1C_vRhyme_unbinned_105,11.047855139524282,0.5469335462875154,0.7236980957768102,1.037572020665948,0.5952427280431439,0.6804859089331317,Moor House
BAr3G3H3I_vRhyme_unbinned_30,15.579242062590708,-1.488042342387129,1.0342553256203488,15.621651900965304,4.053231326904642e-4,0.0013247096762441886,Moor House
BAr1A1B1C_vRhyme_unbinned_37,285.96948384509767,-3.8838965988189083,1.1827613854851398,9.089283781017159,0.010623976581962043,0.02144057756499174,Moor House
BOr2D2E2F_vRhyme_unbinned_21,9.430321850223386,0.3298872839972763,0.7431340460590331,5.329764428055306,0.06960755184361317,0.11203796164372443,Moor House
CRr2D2E2F_vRhyme_unbinned_24,1261.439651274536,3.3089760444067386,0.724419134194614,18.80705872105679,8.243261712074392e-5,3.447398756465794e-4,Moor House
BAr3G3H3I_vRhyme_unbinned_37,11.730050514171504,-0.22201274567453358,0.6817141622729711,0.25384121586710506,0.880803598639164,0.90842680486876,Moor House
CRr2D2E2F_vRhyme_unbinned_44,457.5126925442734,-3.076961377477387,0.8137955022876783,13.98639553940744,9.181059411461402e-4,0.002652419869945702,Moor House
BOr1A1B1C_vRhyme_unbinned_40,931.375231866275,5.10572888700189,0.8035348692688715,56.26435398335305,6.05829990653865e-13,1.7188941107375346e-11,Moor House
CRr2D2E2F_vRhyme_unbinned_93,323.18235404641916,0.3465393887464845,0.8477908543872686,15.618407173516061,4.0598124794449835e-4,0.0013247096762441886,Moor House
CRr3G3H3I_vRhyme_unbinned_83,182.1771162207609,-2.018081841265992,0.6937260995588675,7.930878634237175,0.018959705459383185,0.035722257551728476,Moor House
