SampleID,site,treatment,Axis.1,Axis.2,Axis.3,Axis.4,Axis.5,Axis.6,Axis.7,Axis.8,Axis.9,Axis.10,Axis.11,Axis.12,Axis.13,Axis.14,Axis.15,Axis.16,Axis.17,Axis.18,Axis.19,Axis.20,Axis.21,Axis.22,Axis.23,Axis.24,Axis.25,Axis.26,Axis.27,Axis.28,Axis.29,Axis.30,Axis.31,Axis.32,Axis.33,Axis.34,Axis.35,Axis.36,Axis.37,Axis.38,Axis.39,Axis.40,Axis.41,Axis.42,Axis.43,Axis.44,Axis.45,Axis.46,Axis.47,Axis.48,Axis.49,Axis.50,Axis.51,Axis.52,Axis.53
BOr1B,Bowness,NAT,-0.3693703211952718,0.2435002938095828,0.2249779580902946,0.14604284208491414,-0.13784058979191927,0.0991959322445555,0.021940114602522154,0.06182484940317346,0.023679879382454035,-0.021300917578132583,-0.015397870365767598,0.012868541348144061,0.022938637026984288,-0.011257113567192873,0.06235470975558494,-0.02914571668060282,-0.1092144795978492,0.062382516543756726,-0.031298652558799274,-0.05152482397058986,0.10170365374754005,0.07378928290969192,0.06849715324705882,0.04067070024034612,-0.0401311653511577,0.022552060712310255,0.007652529583541435,-0.05156164160898746,0.008691391895379827,0.007423995676116977,-0.017599637161388473,-0.03327758959492076,-0.008302270028332887,-0.015180488784572491,0.017105053070086418,0.024102242167990787,-0.036894128981696216,-0.032825683156139686,0.03855725762161152,0.0505763769593656,-0.006531477461111771,0.020559024928879847,-0.006517209430116324,0.02629317758979052,-0.01168287961576866,-0.0051842294405767065,0.014241984392021591,0.007090545593083222,0.009694305658464778,0.009513001840662037,-0.002256512124137759,0.0021154504874350073,-0.002472418347594192
BOr1C,Bowness,NAT,-0.34339426944541696,0.2628388031751903,0.216029411779704,0.093353825876155,-0.11845239433162774,0.07910357755199252,-0.016280991809767515,0.07025201611081933,-0.05178130522070277,-0.010357710256556463,-0.030128968354417637,0.005463436084952256,0.0158262233528929,0.008051473062112886,0.0836918894723109,-0.05550260870588473,-0.1440701854013691,0.014696553868501468,0.01420541287933723,-0.05748413328518135,0.036005752827136216,0.0472454755312296,0.05347366376278992,-0.010544804096398616,-0.007097148901821656,-3.7710360803267813e-4,0.010598755994885597,0.06630466434887147,0.044586785113605046,0.032996635648804055,0.07832073569219292,-0.048675875060516544,0.024573061034862086,0.0035097155265032,-0.04201348501799013,-0.06619370896982073,0.010294853751931485,-0.029505697634871687,0.007222059587207458,-0.05535024679697853,0.011299568170154333,-0.019052769015664568,1.270010725201738e-4,-0.022251762195136214,0.01587715749648445,0.006505016438911347,-0.020409424694069214,-0.014911934427123132,-0.0015130451504356847,0.0016340890208157105,6.185060653463039e-4,-0.0011020666015723656,-9.919466743946157e-4
BOr2D,Bowness,REST,-0.2521240983065387,0.2682337422857676,0.23333360465426062,0.06324422286315091,-0.005244394723846968,0.03481965305152435,-0.09194362465198465,0.018295275054535813,-0.12151179737896624,0.08673000548883829,0.05360528297364472,-0.062326169998120025,0.17730439342567753,-0.025760877987976827,9.602925853745332e-4,6.347839847268415e-4,0.10929157278437915,-0.059466366126627736,-0.005665061080137109,1.8950065471854045e-4,-0.014860909855264429,-0.02822990574255578,-0.04408154467269067,0.02213773209696012,0.0026868283848549782,0.05636692961876138,-0.040998050701770976,0.058244786162958175,0.019491887547656246,-0.029283405421572744,-0.024292113530125902,-0.001762081359803839,0.039194550846869944,-0.037431678873779274,0.025003231085260903,0.044644344634198745,-0.040011311185926254,0.038836776811667355,0.00305685134159279,-0.021926042765928768,0.020663818066200792,0.005388202103139368,-0.032932526036044844,-0.008877112576470943,0.022523281676454576,0.013403937072161263,-0.007313730740650475,-0.016687333256604747,-0.0077752993401379025,-0.003617718710217642,0.0012800502947859325,0.008593115113141864,1.734467258355925e-4
BOr2E,Bowness,REST,-0.2694557266269926,0.21409979276206956,0.23955712243247698,0.08373837587118119,-0.021411715690976565,0.03791273748764888,-0.09908279448162415,0.018945398531756776,-0.17752562797729066,0.07687639078261817,0.07178389606253423,-0.058123141691244835,0.21283540750630153,-4.969001692621278e-4,-0.07234857032086654,0.021470891388401997,0.07662571402663451,-0.028821032289073848,0.023447954654874544,0.09343407740481052,-0.09588659848171521,-0.02454989267099168,-0.0030385409901999595,-0.03790566758520786,0.016095424768210274,-0.04793655029816095,0.025716100364121076,-0.015531705809282838,-0.003956370651416199,0.010078485936519483,0.012376878665345708,-0.019352304634660072,-0.0597453890452888,-0.026426241072468878,-0.026189572854125064,-0.050423637975947296,0.053037888118578555,-0.028588224286693224,-0.009690428823933249,0.04484741594262743,-0.0022479464325847035,-0.005566716352323923,0.013540441149865478,-0.009783173532753599,-0.0164363229522712,-0.0083226639500600455,0.008488921209688189,-0.003924804040278253,0.0042605000951731085,-0.0073580474782130026,-0.001855715119470488,0.0042745639411945514,-0.0024839775759375494
BOr2F,Bowness,REST,-0.34260342775953767,0.22220348798305006,0.2779078224973473,0.10261930871369992,-0.09751523096537322,0.06852055805704844,-0.04382330243927393,0.03265048616513268,-0.06576093828963879,0.037605650908038704,0.007391579784497505,-0.06750236840092907,0.11863439527610208,0.014908198046449012,-0.03690251183891489,0.014091883729146925,0.10155123376319816,-0.028021112397212954,0.014799804258422871,0.07960006954398242,-0.0072562010080160465,0.031285621981169916,-0.06515003333542771,0.0721763264077736,-0.03645194841941916,-0.011326711502605637,0.02621847608725182,-0.0550401407782092,0.035850692723568924,-0.001697576203526089,0.020754887136354264,0.027527896103136325,0.027333591264461967,0.04060459785761895,0.008753701244214616,0.023135552498191263,-0.029184838158877888,-0.011138947788907463,0.014899619737141757,-0.02410600135096342,-0.02108266241526732,0.003994618870623499,0.01441946395226974,0.012656010683828663,-0.013114398482999508,0.006940188202345695,-0.0030487591499574127,0.017393187477546874,0.0038653137171994313,0.008714797469345583,7.606702305921703e-4,-0.015110516380380008,0.00625928658411892
BOr3G,Bowness,DAM,-0.4148437234418473,0.18943531473699016,0.1435408540400116,0.093285319022974,-0.15368720674380543,0.005247793371517818,0.03389440417618451,0.042399584573298454,0.1321777163514082,-0.13654687927669318,-0.06906118931791387,0.03598895601688715,-0.1901431457171954,0.018802371665677435,0.00579907825808035,0.034892739895352104,0.03789936908945914,-0.018768941561825184,0.031243623866465363,0.03698330869064345,-0.033215694854778856,-0.03847191457950515,-0.02427344981407046,-0.06556946427666342,-0.014337844500006486,-0.014087995004957509,-0.05249505464377404,0.04904905533692405,0.00657937821922174,-0.040348652008296584,-0.006331438297002969,5.556322497960823e-4,-0.06159084080251323,-0.004279403408227632,0.008195194653491354,0.0212995085402888,0.024897427704198914,0.0025081199565228215,-0.01850566369248077,0.010218301448092677,0.008127364294631083,0.03899543464676225,-0.02123588032877385,-0.03528189861040494,-0.005461946279246046,0.005946550572879672,0.004513639432247663,-0.01191941136871708,0.015504052542105374,0.019994956092329444,0.004568385871122837,-0.0076860214226195005,4.5884188366269253e-4
BOr3H,Bowness,DAM,-0.4342831589638971,0.17484484429362349,0.1611503734135583,0.09067016408423557,-0.16230888236396415,0.03706480404954993,0.04905717710401266,0.04866833686206864,0.1122606267511106,-0.1272560719277029,-0.07595784067481422,0.046052421873904015,-0.18004010242878413,0.01827596787224538,-0.020164311363134062,0.03367681892218307,0.04855741361176166,-0.02961357597206471,-0.005216528780705463,0.023174847929215054,-0.03710954133492438,-0.022213129744281825,-0.0029593803984476756,-0.04738619532399266,-0.01496342141168977,0.005740841927872867,-0.07476823932911902,0.01886799113660171,0.004696635835785032,-0.029010795806110223,0.02791279500773599,-0.012095926434906293,-0.01101769015060582,0.010338752404978804,0.02514733524119466,4.2871837940482063e-4,-0.01736714825701404,-0.004815442061189115,0.0030018279911064516,-0.014494456367408098,-0.006885174414604026,-0.019927084700843867,0.023968326730597112,0.03431436703691265,0.0019125466627293226,-0.01077307617007256,-0.010898377303399435,0.02076661055425388,-0.00465693682760391,-0.02419022006206863,-0.005824446800137643,0.009991686497985125,0.006435159056130943
BOr3I,Bowness,DAM,-0.4198570047756516,0.16914331112000597,0.10255677521949952,0.08358283196253796,-0.25350468993793956,0.09099414268042638,0.01571951444395617,0.07646285548493338,0.0867165149979361,-0.11548107567749685,-0.08013783172206415,0.07973797023259545,-0.15020127801585104,0.05355048283887463,-0.02552544175388918,0.015819182568356092,0.050156859744692826,-0.03252389991784562,0.015387491855069164,-9.109975545081115e-4,0.016120379355504665,-0.06499263103602027,-0.02213871921913637,0.06614691335902217,0.056416973652748025,0.0074416324777725135,0.14038270856073218,-0.049531195676083634,-0.050607113242437704,0.04469313001948589,-0.05561051155803466,0.029937180332091643,0.053111731135558615,-0.006149939342634104,-0.020131586929475722,-0.028803576128133255,0.007929689241413412,0.026177145618345568,-0.014657078381701879,0.009642780728790289,0.011342399087911362,-0.016812434897041987,-0.004474401372251703,0.0016424660035559001,0.0065373847083447624,-1.639006773052477e-4,0.007217438818570249,-0.01359486460302399,-0.013018849118503172,-0.0034603394259368407,0.0032955378396275505,2.3765144269825042e-4,-0.004956266517932047
CRr1A,Crocach,NAT,0.21939941874150026,0.24953129928840145,-0.058488379540921884,-0.19838010179779095,-0.013063685341347551,0.15256866109988787,0.04595829058701101,0.05413385396153489,-0.10720723631883584,0.11045172129362059,0.04797404772396256,-0.027709251695983227,-0.14696432417760072,0.08643901474958167,-0.05619294407095328,-0.10978681975272524,0.022599856943577468,-0.08938098034492824,0.08769486010231843,-0.0794882208947965,0.028262230810753887,0.0635230916719466,-0.005018399840256737,-0.01809960469151234,0.01657497508840155,-0.01941632310946674,-0.029581695974195233,-0.03403709304659512,-0.008038309409075425,-0.02388317531098505,0.0069305873848493045,-5.50600644747913e-4,-0.030448563172903252,-0.006129142198235608,0.004540189368639931,-0.009028417252704002,-0.01855935853896996,0.014882683726881148,-0.006616258465924663,-0.00501104050883521,-0.025679391571874162,0.00957808495799643,-0.0017216415607391622,-0.018391920133995883,-0.026737791927648035,0.01187616692828119,-0.013481071794144109,0.013403704064509865,-0.02452419421962099,-0.011893926557635708,0.002729686314889064,-0.011225405494629722,-0.007140579107102058
CRr1B,Crocach,NAT,0.29473264685886713,0.1955290067489123,0.04085362452463379,-0.13807294119292285,0.011306364756369612,0.20388535469688385,0.08529256425759177,-0.02413733212637569,0.044211460363950426,0.051790795013818086,0.028852230097126848,-0.02834352216954199,-0.024968873697985856,-0.03272914476278504,0.013802287355099996,0.04299569856654431,0.03577136683291525,0.06330620554518696,-0.07540091890916356,0.05167139564125411,0.015252333363540026,-0.025869121051348937,0.041465719099631954,-0.03795240166420956,0.0010801819117164753,0.023147094333277923,0.010509545508452772,0.011196672082195163,-0.03537994094796701,0.00515253001263453,0.08202831325090205,-0.015502801698020109,0.03808051035804647,0.015203664081965409,0.01537044950836859,-0.001806621978261437,-0.03076799963560307,0.011208039247339319,-0.032263939592234885,0.020169329270440017,9.980684554637554e-4,0.015989336073417095,-0.005164406254452817,-0.014492951743221601,-0.01636545073751201,-0.01919100219404702,-5.946421473181214e-4,-0.0027181421741666965,0.012729591911820643,-0.004276569512535954,0.02308474750007681,0.003418309511982443,-0.007502943273074262
CRr1C,Crocach,NAT,0.26750852837493505,0.21697395484371296,-0.009637938506805166,-0.19622190088856736,0.011768183352144137,0.20492588525342093,0.049852062840745164,0.03424585999740162,-0.00459506307277792,0.10828084819531042,0.04031572901235465,0.014820958919661833,-0.0895550456328867,-0.054458065163860175,0.03065965914113554,0.035230567641171336,0.028054078438837518,0.0553115016728961,-0.04082988245295981,0.04694443836297052,-0.02898846473545286,-0.04280259145326246,-0.0078658476117853,0.022867554930728354,0.009176499849813462,0.019741655409146474,0.018102689459020167,0.030522581719339,0.021847421066798812,0.031721982500157335,-0.015586295160701744,0.033361106936105056,-0.005405213289064983,-0.006553189443368407,-0.02455734548442708,0.030761185990451523,-0.008551780622654988,-0.025928602711537053,0.054810068648699625,-0.011583959513089225,-0.0072071763229716946,0.017095470150191423,0.002704107933889286,-0.0021224068225036336,-0.027243879194992455,0.01969898639541439,-0.014521466956055402,0.0025889557441466527,-5.985455635579782e-4,0.004999933791413139,-0.006489679539256459,0.008185791855279385,-0.010056905984213103
CRr2D,Crocach,REST,0.2350037987453693,0.09679950738003922,0.04893437409063781,-0.062153562710350115,0.10948851310611264,-0.09595392878851382,-0.06106342997767363,-0.11212792994993756,-0.021881219632295647,-0.17435379983714872,-0.10835660865934374,-0.0965376603914525,-0.017398267303530106,-0.04398878935433944,-0.2027330469142403,-0.0052544701171910735,-0.013986036862665559,0.014438517325321809,-0.0026772076679265557,0.026513581753478302,0.048357394596534285,0.08215009135845233,0.00729838935832528,-0.016842780206122118,-0.0019557360526135316,0.10199936353108065,0.002020328216744211,-0.032027028780282955,-0.038853104430070964,-0.04465405339423411,0.02070347151657611,-0.00892682705073217,0.01200802218075771,-0.030672610693531926,-0.012169133298768647,0.04275383534598247,0.01366260431162933,-0.01991101371516766,-0.005736104899489454,-0.0031662802735609144,0.015414938139924237,-0.041164556790477785,0.01985687501235244,-0.0028003040881445867,-0.032875723547883394,0.017325305531352787,4.580894473368464e-4,-0.03344225029644356,0.0038901997889588093,-0.0030066572608851167,-0.0011998359981089115,-0.0013938604287598206,0.002733444212158802
CRr2E,Crocach,REST,0.1885916990821671,0.13498134605242781,0.022900854472464472,-0.061359623932515296,0.1463353760082135,-0.0960833718188738,-0.08332220567686474,-0.09144114053641152,-0.08776772798237072,-0.18177666330377873,-0.11055221425710371,-0.0994990940560456,-0.02486823794649869,-0.08094015175597452,-0.2064565003703842,-0.029592443170060247,-0.04438222562297609,-0.04776025688226055,0.007192356028645136,0.051917716844570964,0.02323593514012175,0.031820159104566766,0.006563508569653552,0.02962120807518048,-0.028518213230711093,0.04998825381162388,0.014980277673281066,0.0531951313725617,0.028277443359292304,0.03909778770931511,0.03298394150470965,0.027486636925487088,-0.019179088750841445,0.022728363172056894,-0.04275888756175257,-0.01883647471509561,0.006432194870960497,0.02819562199012509,0.002271972238194932,0.024389807563902154,-0.022977284336540824,0.03404057750809185,-0.009021054152975995,0.006459323043397912,0.03552931625951445,-0.016135249964139363,0.0018975598808084657,0.025197589638843335,-0.015415928642041004,0.00981289510126787,-2.883063749697722e-4,0.003748144555772056,-0.001240781819407278
