Genome	BAr1A.filtered Read Count	BAr1B.filtered Read Count	BAr1C.filtered Read Count	BAr2D.filtered Read Count	BAr2E.filtered Read Count	BAr2F.filtered Read Count	BAr3G.filtered Read Count	BAr3H.filtered Read Count	BAr3I.filtered Read Count	BOr1A.filtered Read Count	BOr1B.filtered Read Count	BOr1C.filtered Read Count	BOr2D.filtered Read Count	BOr2E.filtered Read Count	BOr2F.filtered Read Count	BOr3G.filtered Read Count	BOr3H.filtered Read Count	BOr3I.filtered Read Count	CRr1A.filtered Read Count	CRr1B.filtered Read Count	CRr1C.filtered Read Count	CRr2D.filtered Read Count	CRr2E.filtered Read Count	CRr2F.filtered Read Count	CRr3G.filtered Read Count	CRr3H.filtered Read Count	CRr3I.filtered Read Count	LABRr1A.filtered Read Count	LABRr1B.filtered Read Count	LABRr1C.filtered Read Count	LASAr3G.filtered Read Count	LASAr3H.filtered Read Count	LASAr3I.filtered Read Count	LASCr2D.filtered Read Count	LASCr2E.filtered Read Count	LASCr2F.filtered Read Count	LASYr2D.filtered Read Count	LASYr2E.filtered Read Count	LASYr2F.filtered Read Count	LAWAr2D.filtered Read Count	LAWAr2E.filtered Read Count	LAWAr2F.filtered Read Count	MGr1A.filtered Read Count	MGr1B.filtered Read Count	MGr1C.filtered Read Count	MGr2D.filtered Read Count	MGr2E.filtered Read Count	MGr2F.filtered Read Count	MGr3G.filtered Read Count	MGr3H.filtered Read Count	MGr3I.filtered Read Count	MHr1A.filtered Read Count	MHr1B.filtered Read Count	MHr1C.filtered Read Count	MHr2D.filtered Read Count	MHr2E.filtered Read Count	MHr2F.filtered Read Count	MHr3G.filtered Read Count	MHr3H.filtered Read Count	MHr3I.filtered Read Count	SEr2D.filtered Read Count	SEr2E.filtered Read Count	SEr2F.filtered Read Count	SEr3G.filtered Read Count	SEr3H.filtered Read Count	SEr3I.filtered Read Count
MGr3G3H3I__bin_73	15540	17668	16830	8532	14046	15423	6107	8998	6941	7550	6433	7857	9691	8789	7827	9114	7764	6515	5754	7981	9744	11792	14867	7677	16324	11180	10083	27343	21680	23293	14765	16364	13588	15530	18425	13387	12731	10931	12164	31374	18386	24862	60397	363051	477644	73245	674868	484720	91027	1520120	731234	5494	7242	7061	30171	19536	18210	9566	15438	13161	13182	45610	28124	14819	22393	99414
MGr1A1B1C__bin_90	1609	44919	13160	716	2457	1647	964	1253	923	4512	976	1155	1692	1625	1152	793	794	702	3512	21128	15896	13318	40439	2323	9222	6153	11843	37177	41140	24911	1777	2396	2268	9365	10052	6077	1544	844	1391	4922	2971	22208	138817	157947	38493	80598	36495	20446	10242	36805	14979	3414	18646	9028	3216	3171	2808	2291	21823	21100	4656	4848	2722	1834	2480	64478
CRr2D2E2F__bin_104	25154	120366	354275	9090	389069	146652	4111	6882	4252	23351	16991	15811	14913	6946	7825	4944	5306	4617	86740	434630	955954	153277	49764	778259	342036	164818	81156	16622	14868	16899	125882	55526	36771	92833	190417	138437	42849	11594	96661	23825	18729	18871	24878	106107	38902	53351	64087	124640	201777	61944	20907	137157	456417	503568	6633	16411	9793	75795	28052	79994	12907	13594	8438	8865	12481	58872
LASCr2D2E2F__bin_3	1713	615	768	84	463	94	30	69	68	5600	697	1515	8028	5855	5248	450	439	239	1173	589	1169	376	834	299	2192	937	1451	17298	11701	4219	7723	5123	5785	156715	142391	152398	995	2325	4935	118057	13458	51026	4962	5347	4769	1656	4275	1465	1449	4932	10485	690	433	1163	9969	4757	1873	19210	74339	1644	1535	21428	307	276	1292	35443
CRr1A1B1C__bin_23	1230	1732	2641	1794	1302	1689	754	1223	993	2353	953	2104	6338	3394	2006	583	598	918	14297	100507	57040	8636	18457	4624	12675	36016	24691	3542	2769	1572	495	817	567	36164	10845	11931	461	587	1064	2477	2156	6377	14552	21111	15811	7699	8824	5703	7440	13283	3143	13190	80586	67355	444	986	438	1347	2375	26962	3598	1921	1961	1888	1542	16242
BOr3G3H3I__bin_53	2189	1819	5255	136765	21693	19455	15427	15012	19374	7162	9590	11345	5303	5819	8308	93181	115237	186565	2191	3244	4165	1167	969	3016	6394	18317	5618	1840	1550	3737	4745	4532	4634	4492	44162	3467	4367	7067	10774	2296	5626	1558	1236	2195	2166	601	1151	2106	6515	10625	1177	2979	4852	4731	3515	9279	6025	3939	2247	4697	2848	4997	8863	1191	351	8782
MHr2D2E2F__bin_50	10828	15999	17928	21353	24117	30781	20070	18406	28716	12925	28896	29760	17569	12340	22296	32237	38015	37428	29097	30697	29032	25702	19965	23297	49722	38183	43770	12177	9284	17550	65636	52230	48081	10162	30287	10454	22020	23739	31995	21493	27543	9533	13580	34221	29109	6114	12986	16938	38198	43316	12493	25452	32037	28132	134469	250678	110335	14737	19942	42103	13604	22943	22539	58783	94582	65477
LAWAr2D2E2F__bin_112	47980	49515	55309	58718	114431	119051	53578	58124	69650	287695	257349	200483	451619	301042	306306	160785	203305	150558	19783	40527	17880	35575	40565	51672	24636	18285	13429	109821	118984	90955	61373	305827	201201	63712	139689	96364	248220	103298	134444	66331	292460	109499	5917	34098	41726	9818	44120	38744	73298	73989	11104	30729	47547	17006	479538	989639	540617	238209	57255	12886	61969	42719	26915	16821	4422	187946
SEr2D2E2F__bin_162	29045	14853	16019	2559	169551	9453	1991	5978	2465	3993	10185	13754	12804	10698	7799	6898	8223	8238	59330	66449	85051	15846	16750	18660	90935	112123	173624	6326	6368	1984	27926	16272	9187	5957	10948	5923	10614	6797	7909	3772	4685	4936	9639	16563	9799	18136	11453	12750	18680	31331	16129	65646	58241	51792	3817	4025	3046	3498	9571	451897	19155	252881	186618	15030	13921	41967
MHr2D2E2F__bin_5	17067	8877	9024	8523	10214	11987	23623	29183	48902	6212	9356	10850	7386	5317	7818	11870	14202	11898	5449	10775	8732	10528	9132	9095	20371	17571	16197	9271	7787	11609	21082	34824	42179	5470	13415	5659	19700	12354	14497	8451	12925	7127	5307	13697	11025	2650	6187	8739	15913	16595	5279	5136	10673	7936	309444	398820	141230	8220	14852	16420	8127	8693	16503	28706	45070	38587
SEr3G3H3I__bin_272	50068	6401	18854	804	1195	1747	361	486	432	2300	1449	2015	2785	2668	2860	2629	2926	1422	1934	997	1390	13679	6717	18313	1718	1140	1242	9617	9095	12989	2206	5644	3976	2969	4892	2274	4274	2517	3071	4885	7208	7032	2666	3290	2229	1671	7298	2365	3593	5472	3132	1540	930	951	4007	10331	8902	5210	4630	1463	1126	3242	2494	1816	3113	805305
SEr2D2E2F__bin_41	21019	16583	13759	4358	14310	13555	3616	5248	3611	7092	8847	11045	9931	14756	7900	10344	8070	4632	10941	11502	10343	22557	21308	13820	16500	11463	12096	4373	3542	4454	18653	21323	15404	10794	16035	10977	15814	7756	13928	9982	14029	11422	5835	8407	5954	8980	8372	9895	20924	19694	12342	8265	9009	7730	12179	9406	7913	5871	12524	19530	23916	153828	190762	27671	27840	76661
BAr1A1B1C__bin_58	282414	169473	234003	20270	141343	126664	2494	4334	2732	64770	27227	15574	64037	45524	29978	9826	9534	6859	185874	52351	95714	57021	65974	89043	17896	27798	72836	23569	21286	9416	40003	27024	32197	22099	31675	25954	36459	10993	40107	14700	9365	4135	3147	43045	13543	2751	6444	29455	111222	84607	10201	82782	53089	44564	3407	6778	3103	79720	3973	49672	30364	79437	14980	611	1072	23879
SEr3G3H3I__bin_282	470	593	696	562	683	747	404	520	424	1361	553	892	842	535	423	491	523	555	4176	6234	8327	4992	11508	2769	1494	1608	1985	1918	1388	862	883	833	511	6210	1256	2193	579	465	811	1373	504	4940	662	1230	815	415	511	471	921	1808	420	3230	6308	9723	367	563	342	402	521	2110	321243	97813	72858	2348562	1060467	17245764
CRr3G3H3I__bin_38	60424	54881	105504	2253	80956	47517	1000	5873	1067	66364	44840	57962	112163	151388	73725	4449	6197	9238	107981	189592	180816	116421	72533	119250	359946	233927	208720	82986	76075	12031	119235	59717	43912	43899	107079	58196	35046	6210	107737	30585	9700	41572	165790	103616	70889	73979	91708	43942	82938	181709	107536	104721	121939	115657	4964	6127	4791	109182	132834	402915	26843	21777	74448	21718	122340	115189
BAr1A1B1C__bin_33	752464	107607	219666	6286	56589	42512	4950	2934	3350	141266	16059	64405	135213	170160	84247	92578	67969	64295	53137	68338	78854	63323	243340	76031	9573	41994	27034	48454	48604	92778	23866	20778	7214	647480	237365	356531	9125	168737	36967	74484	100874	473483	3587	4168	3631	4818	2794	3714	3320	11209	3181	72278	110168	65956	2946	6402	2607	186908	13647	20703	26294	13655	8425	12294	15542	210882
BOr3G3H3I__bin_50	1977	1315	3776	1615	4690	2259	954	1797	1277	9008	94475	110976	78997	23506	54615	124498	108148	74456	4492	7519	11029	2950	2733	2773	5373	9099	4689	11574	8342	2243	218906	13750	9926	10451	80882	20804	16184	24970	24325	3060	4374	3470	9058	8118	7881	4401	4154	4476	7317	9405	3621	3811	6172	7260	2744	5287	3144	6267	9134	4556	2860	3065	36079	7409	9389	19274
LASYr2D2E2F__bin_67	26000	23829	32328	9770	14892	53582	5112	7886	9017	19899	16896	20268	18001	12728	25613	61771	74068	15116	7127	4702	7621	5446	12374	7048	6602	5445	4810	14411	14343	31521	111746	342469	272665	22584	79130	19951	319954	126420	96244	56241	98486	62426	2433	10436	9673	3998	9415	9590	11509	10316	5124	5894	4970	5114	15288	82287	59454	108531	94226	4719	7059	7264	7256	5963	7837	72519
SEr2D2E2F__bin_123	85272	32293	2437	1737	4955	15617	749	1425	652	5534	6216	4161	3261	3125	2314	2415	1506	1161	11968	7776	6659	13346	8776	19287	11311	7164	6641	5284	4172	1737	37987	31795	22698	9208	37361	39118	160657	10986	42593	4001	6062	6457	5437	5269	3958	2275	2684	3769	13698	18870	2358	10365	4681	7235	929	2226	1637	32775	13907	7985	132477	205716	140959	41422	72668	113295
MGr3G3H3I__bin_138	2612	4166	5103	807	4897	5825	1998	1876	1599	1858	4491	4307	2546	2506	2507	4309	4015	3526	6848	12915	13809	13307	8827	11116	59095	25021	18840	10807	8119	3255	16458	36392	9319	14111	44646	16808	5319	9198	13320	36920	37058	4518	23281	26364	32997	8206	19904	35310	77135	268503	39940	7973	12386	9138	65289	7743	6337	4173	12039	12867	2017	13075	19975	21059	39549	14656
MHr2D2E2F__bin_41	2518	5851	4167	3211	2898	2393	3041	4188	3725	6220	8800	8822	5457	3197	5689	6802	8251	14425	11920	18512	14152	11539	17075	7947	12731	16603	38950	6851	6590	14534	27655	433180	856105	6615	8386	6311	1462714	253816	33535	117629	466789	77602	34040	59813	26352	20513	31579	23766	26495	61997	5053	10764	20289	14861	40954	479174	1228167	308304	38696	53894	19828	9347	3447	333	585	30812
LASAr3G3H3I__bin_11	177	175	123	298	211	237	77	192	112	510	1203	1129	698	1010	2168	2616	471	843	250	948	582	4788	1038	427	482	503	297	2987	3413	1377	18227	3741	27750	18433	45582	27169	120	4307	693	8505	11180	525	594	668	468	678	1389	1842	9076	2978	752	282	864	447	4836	14608	12759	42282	25841	300	184	364	739	231	324	2869
BOr1A1B1C__bin_77	26880	29957	27884	51954	67471	109779	41666	58217	87470	2184495	954976	939735	944305	579177	790585	631753	628032	199256	9612	20154	14370	19059	26162	52492	13481	9378	9231	26181	27930	24776	89817	78577	73736	14618	203228	17288	407701	114564	283973	11213	42545	22456	5531	15437	18854	5491	22823	19886	32691	40888	5932	13916	24119	13840	60787	173930	126761	65140	15420	8982	32343	19561	15700	9779	2912	55846
MGr3G3H3I__bin_156	2306	4264	4281	973	6768	1427	1644	1263	1617	46332	27089	219260	56212	86062	60566	6931	25508	24571	3358	6538	7908	3406	3517	2480	6190	6027	7528	5403	5661	1353	376446	334453	107639	15372	32536	21056	27232	12326	52580	36903	16568	132763	7445	14763	6497	10592	263885	149384	136492	435424	1992969	3568	5624	4521	39325	11159	5361	13559	447140	18176	17759	15767	13239	9438	2913	393693
LASCr2D2E2F__bin_72	618704	91964	101084	27377	179144	64919	3217	10046	4402	159694	110006	116247	275955	184947	175354	38026	55044	26625	375153	147118	224251	341922	399908	231183	552317	346131	282705	110173	86800	174925	89296	197028	40077	862035	675679	699147	103077	38666	115422	638277	163450	722337	164235	181396	79686	120079	115753	100247	125338	206820	119010	448396	152203	152969	51344	44000	33000	57751	119869	348189	999015	888918	462508	298105	616940	1127604
CRr1A1B1C__bin_81	162262	92095	318601	35638	113687	296523	3904	20449	28310	62379	43047	81224	37493	28536	25073	70843	48152	42752	378652	194821	443952	57536	80835	62385	126040	110831	105136	1179	1021	3825	14743	18535	72344	16923	40099	22451	113491	51453	135266	16333	42421	1665	2472	8005	4045	4934	2499	16659	16719	49873	1714	363164	234602	220901	976	4446	2818	27607	5318	48540	18848	30905	45194	7944	2377	21968
SEr3G3H3I__bin_288	1316	709	490	590	472	366	328	463	476	413	383	691	518	643	418	232	300	291	1220	1331	1226	1640	1976	1042	1772	792	1166	72506	55081	10948	719	765	528	1742	1328	1391	939	387	506	2350	2109	2593	22129	11435	5933	18365	15002	5172	1582	12758	8328	782	1094	851	4154	2137	1950	2138	4473	1533	1846	2053	2268	9374	12678	159053
BAr2D2E2F__bin_96	8233	130600	83857	4665	109912	886903	2684	3487	7848	18489	39931	24067	12270	9878	15175	49772	54998	12019	4102	32106	20579	14166	2855	52528	4708	3725	2770	1104	931	1110	44222	14333	1572	7211	33093	4990	4011	11185	85440	778	1298	1377	1019	1596	1188	1363	1350	9449	7990	2955	799	3791	31881	13349	621	1562	743	1638	620	2244	10860	69486	223878	20282	5335	6549
SEr3G3H3I__bin_206	1886	988	1280	478	1327	1217	272	576	300	1771	1440	1885	2554	1494	1134	611	673	802	2333	2467	2989	1260	1592	1385	1874	1706	1715	3305	2837	2817	1371	937	792	2600	2627	2384	1019	653	1195	1745	1229	2829	12480	5240	2798	4030	3539	2050	1399	10573	3242	1793	1745	1780	536	1090	650	2056	2118	1942	2440	5357	2356	9079	18740	356054
LASCr2D2E2F__bin_66	5194	5804	4948	2244	3308	3451	1191	1310	1362	4396	3379	3527	4854	3708	4089	3282	3514	3139	5782	6037	5562	6182	8073	5591	12687	9354	8767	15698	12069	22458	18521	20157	14351	58847	55186	41666	6673	13819	10430	79991	22218	16543	3176	5301	3302	3026	7405	4817	6729	15625	14864	4998	5964	5468	7441	9524	8142	8979	13977	9433	13022	16125	10163	8478	14854	63410
BOr1A1B1C__bin_86	2564	3639	4582	31477	10198	3099	329732	250172	256284	49987	194558	401642	27123	20931	97224	276301	313857	446866	4149	2448	7207	5536	7982	5244	2403	4081	3111	3852	3507	8791	7096	10345	12274	4352	109915	3594	6619	58173	4893	4290	5411	5223	1097	2761	2947	1472	2133	4260	5002	3287	896	4003	3217	5640	8215	19767	15476	8909	8970	3218	3714	1481	3660	6705	6278	19982
MGr2D2E2F__bin_40	1194	7369	3564	566	1123	1383	443	607	596	5091	1151	5669	2467	3137	1512	429	393	679	4068	6382	3950	3627	3431	2645	5991	5464	6242	44362	24051	14920	809	1648	1124	13807	5354	4766	710	439	1045	24520	1566	16285	33142	19977	9050	146480	134633	63979	19742	181262	95221	4377	5768	4185	3577	1807	1343	978	5864	7974	2360	3478	2665	3861	3471	65696
LASAr3G3H3I__bin_66	23518	22960	16862	4415	28563	26192	8637	6564	13648	35222	39229	49028	27935	25718	30274	40767	50106	39335	19175	32997	36661	42741	58762	25512	92142	66464	55307	49817	32728	24634	105485	140816	94799	91885	121284	51661	61117	61264	83601	91908	74194	26825	14923	35273	35210	11653	22490	20711	51453	88455	47016	20871	32796	37910	33439	45597	14595	29682	80087	45214	18766	82010	140290	72953	135640	89948
LASCr2D2E2F__bin_126	7892	8354	25037	4228	2477	4453	2480	2487	2844	12813	2486	3809	5669	4704	3044	4239	3927	4184	2555	6416	6645	3889	1517	5921	20925	4007	4337	15410	12086	13019	2524	4417	3721	164363	72834	63619	7428	3509	6764	31618	6348	10954	4438	3703	3055	5285	4570	4018	4948	8282	2158	3069	7307	4903	4638	9566	8853	32917	10360	3846	3100	5529	5577	2142	2161	37700
MGr3G3H3I__bin_142	36503	59874	116706	10317	37580	43288	6820	7923	8276	23858	25738	11326	85798	56947	39747	6426	7815	8544	67198	74033	51725	71351	33754	107668	99087	90520	77120	32976	27797	35402	24133	129277	35164	153594	110679	67020	47199	19740	41178	203291	101505	68309	44209	165026	72908	27848	174824	217586	393363	472724	156490	60001	85731	41934	23732	44821	15577	20791	45931	64016	323639	712930	376996	34334	64474	141410
MGr1A1B1C__bin_146	563	11099	909	274	260	1076	94	323	120	2273	495	1241	1482	2051	1493	489	484	478	725	3155	2810	2971	2530	1359	13559	1037	12441	45486	30227	11024	11000	10224	8954	10238	10428	6823	4447	1816	1829	26759	12699	36435	162450	92789	107207	51225	156310	47909	55118	113691	143312	879	2665	2028	20264	13010	6876	4194	35330	17018	166	187	64	301	426	22351
SEr3G3H3I__bin_170	445	52	184	132	53	27	16	60	40	1536	307	573	64	32	29	30	32	27	11527	4098	2936	37	89	3584	99	101	148	92	72	61	238	305	39	321	549	2639	62	35	115	120	59	219	20678	13645	5564	2618	317	3821	98	8794	39	7099	3716	4931	38	90	33	35	94	103	190	128	114	59374	32147	305049
SEr3G3H3I__bin_117	8318	18888	12561	9284	24410	30268	10824	11371	16079	19765	26452	41668	20388	17312	23917	26256	29091	25465	14592	28772	21285	27938	21316	23764	60836	38824	45930	7401	5136	5911	52791	52545	32015	8827	28495	9444	16636	14731	32089	32744	38803	19233	15082	36013	28565	7460	18142	19821	47212	57472	17938	13577	29833	21212	49592	23300	15314	9001	16664	48606	21727	29284	24587	1512203	856352	66336
MHr2D2E2F__bin_106	4402	6245	6113	16646	20645	18173	31820	32600	28535	15976	24562	20440	18221	19804	17959	23740	30066	24944	3331	6863	3379	3819	5338	7465	5891	4545	4250	9372	9690	11538	8531	18394	23270	2768	12756	2866	27492	17572	17025	5564	11995	8049	7142	9334	10573	3823	13097	12445	19084	23969	3262	5601	7922	3312	182284	868578	226830	19292	14681	4523	14624	6871	5046	3327	853	24313
LASYr2D2E2F__bin_36	34283	12964	38292	76713	47832	56326	77600	64720	74789	37624	50250	61383	32282	47678	39771	79485	129058	135905	20769	21089	10087	7377	16010	24512	11623	16045	8176	36153	39318	24414	93779	30563	109757	4050	48393	5705	88734	247291	44898	5546	17616	7377	1136	4274	6419	3433	5713	7278	12564	15882	3597	34946	28272	9418	17358	46267	40038	105712	10608	6652	35574	11178	7239	9837	1930	52382
LASCr2D2E2F__bin_48	237740	176573	200765	5301	14185	18548	2974	4659	2899	57493	3814	5864	15234	35401	5179	5070	2869	2124	11698	23956	25056	249430	375738	104923	15940	17070	16671	46134	41535	76476	28889	35710	16520	368518	339592	415781	24726	67283	56410	165172	65979	507157	14557	27573	18343	11156	20541	12062	22652	25814	18093	11067	20815	15460	8838	8479	8071	122852	73670	32241	14034	19143	12988	12250	15209	181258
SEr3G3H3I__bin_168	1961	1656	3252	551	909	703	292	435	419	2843	1815	2063	3168	2899	2681	360	538	472	2683	1569	2133	699	1270	1447	1173	1373	3077	818	631	370	323	1321	224	3760	2173	2179	863	255	1442	3470	2017	4289	744	1228	1269	701	648	745	565	2445	2239	2353	1675	2417	389	477	171	607	1297	3078	5963	4603	2834	118598	301956	1075781
MHr2D2E2F__bin_7	26222	37049	26227	9202	29712	28489	3752	6031	4726	8141	6726	7881	8119	8293	7373	8701	5966	5058	8008	12774	17300	22244	31376	11036	74454	19033	16067	466914	367369	111658	45520	155999	79376	324425	203497	215613	12230	12979	21958	883680	538616	584783	125570	35323	29617	66580	53663	77233	36270	393813	133271	8174	10626	11853	1132452	992709	816849	35913	3008255	22285	16255	114268	45996	22200	33557	322496
MGr3G3H3I__bin_160	2955	3912	2069	1918	2858	5515	1156	1485	1797	2807	8886	8040	3794	2743	6967	9920	6565	18886	3578	3939	4436	10001	10859	6654	7585	5742	5460	6573	6370	6450	93003	169662	99267	5048	9550	5851	4884	8898	9557	14849	56784	10208	5245	7349	9437	14866	121962	159485	483357	353799	302726	3957	3966	3523	176115	67465	28355	3836	16062	6980	5170	4605	3871	4439	7390	16194
SEr2D2E2F__bin_5	104225	39721	45211	18068	961113	20202	26	823	21	5257	467	495	1830	1802	276	41	315	607	9008	11799	6109	15963	33146	60336	15697	10320	40888	705	481	798	1850	355	95	4033	3274	6824	891	7	373	1860	68	4040	171	634	927	119	243	166	739	4319	33	25997	14246	9355	110	72	121	320	5533	56662	1777316	142725	24322	271	3276	4189
LASAr3G3H3I__bin_6	2495	5392	16366	13150	98538	69353	13813	11221	16146	7530	12512	8722	22136	41932	3813	33119	31052	49492	7540	39368	11969	6597	5681	129535	71027	48886	30019	24203	20488	4961	186582	115986	231681	6554	53436	59289	123431	46432	400884	25035	252967	2502	2696	2723	2415	1296	1390	12375	20384	27751	3219	5407	49939	11041	7725	19016	32951	29094	3345	28433	34070	128865	433472	19416	10165	17777
MHr2D2E2F__bin_59	27601	49324	28263	28964	42426	40903	7007	10458	9680	11618	9530	11943	7997	6831	9057	11810	12565	20456	12895	15143	23818	25804	27399	13038	34364	34161	19892	29441	25650	62993	22609	23614	40388	24969	30754	21206	14893	14962	12934	62841	50083	51192	30381	22852	19540	30169	27889	33814	28498	132300	68239	12785	13028	14508	340674	442365	460645	18335	49738	21534	15359	32049	31054	7367	11124	145346
SEr2D2E2F__bin_83	39890	10493	11102	1920	15308	7294	4029	4804	3157	6908	11483	14562	16529	23966	14350	7080	6530	4710	8035	17625	15793	16007	19643	13354	22606	16181	16352	9002	7424	5800	16088	16156	10235	17932	21253	15195	26841	3537	13162	9774	4807	17271	15214	19255	12058	32906	24599	19139	20210	54102	48990	7373	16194	10653	6384	5031	3831	7130	14042	25836	927433	437103	156055	267522	252366	860609
CRr2D2E2F__bin_119	138615	36210	34933	9424	57183	20274	838	3730	1308	41523	27600	30115	58537	32788	42080	8676	12171	6742	188589	91180	132602	290355	177214	131897	364331	192928	129275	52972	45516	43871	22739	35369	6314	164262	135357	150709	13835	4507	19262	109857	38041	131328	360757	254714	93746	266423	155440	159634	162809	233486	158557	225731	94796	88697	9846	6052	4429	8579	31931	156144	178997	205710	136267	90098	172458	248213
MGr2D2E2F__bin_45	892	21719	1022	1747	878	854	387	594	464	4003	642	1453	1711	2514	1441	643	654	668	2659	15665	11651	7421	16086	11230	17182	2600	7477	833774	635262	119384	4131	1976	1063	17562	9249	12578	827	426	764	26178	13576	23080	527785	245757	125331	1206048	250273	92852	14849	167848	104254	2717	12685	8928	54439	11437	14755	1257	47306	12576	1253	6505	1610	1436	1912	216434
LASAr3G3H3I__bin_113	144531	341953	265996	19867	213653	647069	6049	15246	11173	93889	191371	73179	292800	148421	291486	388900	227567	85052	104268	266455	191825	1022835	1292116	361332	688706	539314	351986	46693	39827	93999	1205657	666842	413487	216056	672254	241353	372393	473524	942463	266802	611272	198914	98176	162719	100335	90130	157573	238808	303591	608732	634827	112155	227255	164211	193099	154584	119476	91075	314558	402948	273984	659213	898433	114144	135421	340940
SEr3G3H3I__bin_100	42823	61470	55361	86357	105127	107887	6914	8675	12494	12823	6230	7194	10081	8414	6323	4159	6145	8121	23810	28757	22653	12576	7404	25866	40191	59086	34048	21658	16873	9502	1291	1684	4783	22493	16117	12312	8439	4368	5492	7427	7203	9203	19872	20243	5242	10368	40394	19643	35390	135799	28672	22208	28918	18820	484	2510	670	1931	6013	34630	190817	439461	198654	164459	390818	144542
BOr3G3H3I__bin_26	1470	2091	2588	636	1023	1661	381	543	536	207402	20190	116378	217453	125640	115844	119266	172016	67366	674	619	962	1662	10750	1243	657	652	641	2099	1974	5998	2065	2898	2512	30336	67261	11784	2409	67657	10484	9691	9879	43662	537	847	645	431	814	639	894	1483	731	685	640	796	1194	2853	2487	56262	72096	769	1203	514	519	2229	3199	17248
BAr1A1B1C__bin_127	678353	216364	226849	2294	60438	57750	1210	1798	1630	65182	13075	8512	52857	56967	20415	3174	2887	2997	39558	68756	69497	89937	61664	141916	14425	12567	20147	5475	4220	1811	22841	24670	64959	52105	75341	68271	25704	11111	53363	2496	2055	6790	9498	10294	9091	7028	4304	4585	10704	11579	3730	37883	75676	45637	1821	3316	2158	15165	10667	21101	140452	53350	214632	110685	122658	736793
LASCr2D2E2F__bin_32	692	381	367	42	258	68	20	45	27	699	118	125	259	269	127	247	176	84	338	387	490	789	749	360	526	348	484	1968	1734	707	231	1946	321	79322	62471	101316	118	88	193	50847	911	15565	497	695	630	390	494	193	309	465	375	330	316	546	3879	2007	781	2028	95057	757	239	55	64	97	128	1718
BAr2D2E2F__bin_8	42801	21411	73577	72863	306668	56576	69842	86647	63144	6243	12184	21412	12245	7014	20051	26823	25956	22862	9401	16347	34606	3443	11795	26031	27108	22613	14401	1538	1684	3052	19722	7109	24757	3744	24297	11206	42538	40682	18770	2812	8893	1539	2081	1875	2019	3208	1131	3248	3467	6595	2754	6389	20233	19947	2168	6538	5250	59736	8089	12672	5168	6405	147150	5022	2828	14502
BOr2D2E2F__bin_49	9410	15377	11908	17611	20679	18865	3914	5327	6554	105635	122183	114191	269078	265370	208247	81808	89716	55695	19069	19025	17666	26699	24788	20056	24837	23339	30327	7966	6345	6358	30002	44460	36344	20792	54722	13665	21974	20686	34815	16825	20582	15186	6891	16790	13481	3870	7559	9570	19414	25658	7858	15603	20096	16761	16900	23736	12323	14872	20661	29653	38544	25608	40466	98770	187246	307698
BOr2D2E2F__bin_82	15178	21756	18650	1795	8806	8032	899	2388	1022	26201	48731	70274	214917	136722	152047	26236	40791	23310	20490	78627	40988	32140	54353	13424	36652	58169	69716	42693	31371	31556	20367	51561	35370	123115	113172	61669	20278	9844	52439	84396	27391	162213	117191	99522	86687	71555	136947	107866	119293	313720	223216	17032	71066	29790	14010	13004	7523	21062	117734	118642	12762	27074	9892	33102	35807	229075
CRr3G3H3I__bin_87	5237	48644	5874	29068	74942	15065	15658	17955	15776	19496	6595	11666	10580	8474	11063	27003	24204	19411	3782	5957	7032	293187	34790	6244	590879	29741	35642	4200	3902	6222	12388	18592	16402	18767	59719	12162	8981	13468	25761	28020	15981	3936	5708	7559	14812	54078	93729	240114	181209	319521	177590	4063	8029	7689	17127	24022	17012	6591	3134	28438	12229	319504	33507	1938	1187	16863
SEr3G3H3I__bin_118	13653	17534	24396	50689	41983	32239	11216	14023	16795	82033	99910	96736	171288	160862	138595	74580	84864	61353	41186	31009	31162	27024	21445	27948	37912	38848	52200	15022	11869	6865	48112	66861	66626	15682	55076	14494	27436	24462	41255	19940	30326	20735	10298	25628	21131	5840	10407	14637	28010	52342	11335	31763	33891	29740	33475	43534	22580	16675	31158	46087	112906	82036	208926	1184093	2436346	4397104
LASAr3G3H3I__bin_94	5128	9418	26642	13023	10549	47069	7275	9514	16602	13544	65911	20610	43115	21606	53018	93779	101427	60217	5965	6234	7395	24058	6230	17068	13451	7928	6608	1776	1675	1270	125779	67673	142300	6932	64393	14625	28825	28224	97661	4498	26434	4659	2676	6851	2686	1668	4382	12457	50152	8760	2091	5548	7032	5615	2670	14969	4488	14033	8075	4802	8740	42286	58216	4568	3239	9820
LASAr3G3H3I__bin_91	2067	3115	2473	7988	2451	3384	8543	6387	5710	18240	24385	17445	3466	3484	11057	102452	88517	46592	1827	2113	2696	42768	23591	3064	30757	8314	8992	3077	2329	3040	290830	255840	380323	2912	76337	11858	115929	177365	134649	69204	108936	25382	3777	41116	48892	6875	18517	64407	159483	12689	9786	1853	2125	2144	228276	233053	247743	76285	241571	10485	2490	1861	23364	8786	5798	7636
BAr1A1B1C__bin_105	9838	322935	53682	192406	447989	72348	34633	54090	32527	26818	5772	5667	5468	3618	8968	17899	19785	79735	3686	11429	7644	17655	14048	9164	18981	12872	15543	5463	4901	4622	13735	13716	9742	5079	14704	5242	8871	6719	10054	5949	7744	8356	7216	18624	13851	3465	7452	9449	18797	13659	4658	3929	11068	6681	3845	5893	4391	5945	6818	18176	37203	5363	8610	13321	76625	66549
