Genome	BAr1A.filtered Read Count	BAr1B.filtered Read Count	BAr1C.filtered Read Count	BAr2D.filtered Read Count	BAr2E.filtered Read Count	BAr2F.filtered Read Count	BAr3G.filtered Read Count	BAr3H.filtered Read Count	BAr3I.filtered Read Count	BOr1A.filtered Read Count	BOr1B.filtered Read Count	BOr1C.filtered Read Count	BOr2D.filtered Read Count	BOr2E.filtered Read Count	BOr2F.filtered Read Count	BOr3G.filtered Read Count	BOr3H.filtered Read Count	BOr3I.filtered Read Count	CRr1A.filtered Read Count	CRr1B.filtered Read Count	CRr1C.filtered Read Count	CRr2D.filtered Read Count	CRr2E.filtered Read Count	CRr2F.filtered Read Count	CRr3G.filtered Read Count	CRr3H.filtered Read Count	CRr3I.filtered Read Count	LABRr1A.filtered Read Count	LABRr1B.filtered Read Count	LABRr1C.filtered Read Count	LASAr3G.filtered Read Count	LASAr3H.filtered Read Count	LASAr3I.filtered Read Count	LASCr2D.filtered Read Count	LASCr2E.filtered Read Count	LASCr2F.filtered Read Count	LASYr2D.filtered Read Count	LASYr2E.filtered Read Count	LASYr2F.filtered Read Count	LAWAr2D.filtered Read Count	LAWAr2E.filtered Read Count	LAWAr2F.filtered Read Count	MGr1A.filtered Read Count	MGr1B.filtered Read Count	MGr1C.filtered Read Count	MGr2D.filtered Read Count	MGr2E.filtered Read Count	MGr2F.filtered Read Count	MGr3G.filtered Read Count	MGr3H.filtered Read Count	MGr3I.filtered Read Count	MHr1A.filtered Read Count	MHr1B.filtered Read Count	MHr1C.filtered Read Count	MHr2D.filtered Read Count	MHr2E.filtered Read Count	MHr2F.filtered Read Count	MHr3G.filtered Read Count	MHr3H.filtered Read Count	MHr3I.filtered Read Count	SEr2D.filtered Read Count	SEr2E.filtered Read Count	SEr2F.filtered Read Count	SEr3G.filtered Read Count	SEr3H.filtered Read Count	SEr3I.filtered Read Count
LASYr2D2E2F__bin_96	1572	2155	2520	7361	3823	4217	4957	5469	6353	63643	5417	7923	6258	16251	7581	16419	18476	9220	1968	2294	2741	1045	1328	1703	2656	4170	2453	2195	2225	3863	18475	10313	37673	3632	13625	3289	231416	112760	63091	1984	4017	2157	989	1125	1504	863	1382	1792	3317	4882	583	2345	3103	3045	6430	47172	10435	5768	2289	1759	2476	2404	2293	759	283	9269
MGr3G3H3I__bin_42	106236	219348	590471	6164	4466	35683	5770	2003	3677	19817	3781	3663	4221	3614	4019	5217	5411	4058	9314	7790	8437	84455	76411	38917	46390	15083	16806	12162	9014	36119	6794	12590	12476	109518	195587	102468	8110	7874	5528	307878	124666	163292	103417	26726	6694	258458	588753	172709	189667	1737084	1988316	8836	6799	6999	123392	14181	10896	8813	88330	19273	89732	841868	354961	37273	47111	75776
CRr1A1B1C__bin_120	146804	140047	190213	354696	556256	648385	318738	346563	402387	397741	802618	740342	408289	791214	494430	707017	839577	894411	405244	692709	432109	167606	254480	452859	203130	369735	161010	368295	395299	250096	179607	513276	382141	52341	411536	80030	530485	289633	772241	75168	249758	111755	23628	103028	154738	120628	143883	185637	252957	373207	72849	702353	865626	390268	428917	946826	684004	326248	117115	142492	515860	181143	119978	109072	23857	535742
SEr3G3H3I__bin_143	17257	8580	12505	1252	25112	5577	481	2974	512	17356	26547	22061	62658	40984	40323	8912	11526	12378	13615	25691	22233	16964	26407	50832	137499	141747	122794	18235	13863	7292	63167	77645	36088	43452	38736	25271	37794	3859	43161	26723	9177	44290	46541	49374	28037	50882	85940	33257	65939	117642	76914	13005	26244	21404	5309	4315	2751	17541	48312	160557	80593	100891	24222	297578	619406	1421415
LABRr1A1B1C__bin_44	266983	588242	398438	244319	592568	772867	244113	270050	330935	451715	888881	744860	449728	562657	529207	676916	767911	755480	107817	153888	52552	240004	265928	140525	129848	75752	66412	521942	559172	733698	499019	838334	1853067	58363	364873	67055	1524981	864927	781438	172080	559494	202756	14768	97745	160378	31394	155557	122932	268730	221917	42156	167288	177572	52589	829664	3469221	3434386	1416492	315788	67388	241573	134563	80409	72289	12924	1497671
MGr2D2E2F__bin_25	967	1484	1463	821	1093	937	615	867	632	813	457	641	1073	845	704	551	557	535	1134	2949	2185	1393	1662	1066	1849	1913	1740	326444	302156	13953	1091	1014	829	1655	1772	1507	867	772	923	1229	1384	2411	806512	16481	6795	1978469	86454	65125	3304	60286	18397	1111	2859	1584	822	1038	826	1103	1830	2387	1153	1598	2072	571	726	23834
CRr1A1B1C__bin_45	7227	19960	85998	3129	12196	59992	1978	8868	3667	6033	4168	3504	4377	2617	3025	3314	3605	3300	71584	519092	525728	13383	7490	44454	480018	335378	318875	7733	9128	5479	4959	8995	4239	11007	16181	11260	4409	2205	13280	2631	6960	4558	11758	74575	56413	9412	7977	12439	28990	19501	1948	96709	557551	340210	1913	7285	3916	5510	1519	178669	4303	2172	2320	1605	1366	17017
MGr1A1B1C__bin_74	257394	77613	22133	6092	12386	24745	4293	6889	6097	27146	5548	7468	8084	12144	6332	6893	7571	7249	25808	44997	39321	86672	59795	24031	187529	50083	79594	212877	121295	66060	9754	13312	8459	235792	76486	145294	4782	3918	6492	102817	28278	56351	324076	139878	57323	189991	164284	44839	45171	95901	98384	21613	38005	39835	8840	11943	5572	11798	87561	129428	30549	53456	27785	19870	48912	157784
BAr1A1B1C__bin_122	87279	283982	520424	2695	8290	44259	1198	1970	1906	54829	4603	6559	16625	19852	8620	2825	2863	4135	63400	96179	113472	135998	102356	118937	22388	20604	28128	32180	26757	10548	5493	7919	14194	69637	117079	78573	5950	3932	27987	9572	4974	34461	28839	27227	24101	26605	12410	11670	14761	44481	18186	60988	91737	84785	4248	9760	7050	18453	30420	31790	21516	23137	23241	48588	38685	396301
LASCr2D2E2F__bin_59	10047	14064	14901	1687	6112	6821	972	1475	1055	15154	8705	12506	27753	20104	19808	7052	8368	5343	13327	43567	45210	20783	25371	10115	15147	15172	21413	35170	29477	32756	9529	23025	15947	146738	108962	97624	12178	8579	19726	80407	28576	122777	50049	65498	38492	33378	57985	36229	35452	94029	60519	11734	40504	33337	13443	19906	10186	32584	96787	31479	8404	11530	6814	10087	11069	110068
