phrog_id	phrog	annot	category
1	phrog_1	integrase	integration and excision
2	phrog_2	terminase large subunit	head and packaging
3	phrog_3	transcriptional repressor	transcription regulation
4	phrog_4	transcriptional repressor	transcription regulation
5	phrog_5	tail completion or Neck1 protein	connector
6	phrog_6	baseplate wedge subunit	tail
7	phrog_7	endolysin	lysis
8	phrog_8	transcriptional regulator	transcription regulation
9	phrog_9	terminase large subunit	head and packaging
10	phrog_10	major head protein	head and packaging
11	phrog_11	baseplate spike	tail
12	phrog_12	portal protein	head and packaging
13	phrog_13	Rz-like spanin	lysis
14	phrog_14	minor tail protein	tail
15	phrog_15	terminase large subunit	head and packaging
16	phrog_16	DNA helicase	DNA, RNA and nucleotide metabolism
17	phrog_17	DNA polymerase	DNA, RNA and nucleotide metabolism
18	phrog_18	minor tail protein	tail
19	phrog_19	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism
20	phrog_20	holin	lysis
21	phrog_21	portal protein	head and packaging
22	phrog_22	thioredoxin domain	DNA, RNA and nucleotide metabolism
23	phrog_23	tail sheath	tail
24	phrog_24	tail length tape measure protein	tail
25	phrog_25	head closure Hc1	connector
26	phrog_26	tail completion or Neck1 protein	connector
27	phrog_27	tail completion or Neck1 protein	connector
28	phrog_28	tail length tape measure protein	tail
29	phrog_29	major head protein	head and packaging
30	phrog_30	minor tail protein	tail
31	phrog_31	central tail fiber J	tail
32	phrog_32	tail assembly protein	tail
33	phrog_33	distal tail protein Dit	tail
34	phrog_34	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
35	phrog_35	transcriptional repressor	transcription regulation
36	phrog_36	transcriptional regulator	transcription regulation
37	phrog_37	tail terminator	connector
38	phrog_38	terminase large subunit	head and packaging
39	phrog_39	tail assembly protein	tail
40	phrog_40	head-tail adaptor Ad1	connector
41	phrog_41	major tail protein	tail
42	phrog_42	minor tail protein	tail
43	phrog_43	baseplate wedge subunit	tail
44	phrog_44	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
45	phrog_45	tail tube	tail
46	phrog_46	baseplate hub	tail
47	phrog_47	DNA primase	DNA, RNA and nucleotide metabolism
48	phrog_48	tail protein	tail
49	phrog_49	head decoration	head and packaging
50	phrog_50	DnaC-like helicase loader	DNA, RNA and nucleotide metabolism
51	phrog_51	terminase small subunit	head and packaging
52	phrog_52	tail protein	tail
53	phrog_53	head maturation protease	head and packaging
54	phrog_54	DksA-like zinc-finger protein	other
55	phrog_55	head closure	connector
56	phrog_56	DNA methyltransferase	other
57	phrog_57	terminase small subunit	head and packaging
58	phrog_58	tail length tape measure protein	tail
59	phrog_59	HNH endonuclease	DNA, RNA and nucleotide metabolism
60	phrog_60	NA	unknown function
61	phrog_61	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
62	phrog_62	DNA helicase	DNA, RNA and nucleotide metabolism
63	phrog_63	anti-repressor Ant	transcription regulation
64	phrog_64	portal protein	head and packaging
65	phrog_65	tail terminator	connector
66	phrog_66	excisionase and transcriptional regulator	integration and excision
67	phrog_67	DNA methyltransferase	other
68	phrog_68	portal protein	head and packaging
69	phrog_69	exonuclease	DNA, RNA and nucleotide metabolism
70	phrog_70	major head protein	head and packaging
71	phrog_71	head-tail adaptor Ad1	connector
72	phrog_72	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism
73	phrog_73	head scaffolding protein	head and packaging
74	phrog_74	terminase small subunit	head and packaging
75	phrog_75	head-tail adaptor Ad1	connector
76	phrog_76	tail protein	tail
77	phrog_77	SbcC-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
78	phrog_78	tail terminator	connector
79	phrog_79	anti-termination protein Q-like	transcription regulation
80	phrog_80	head maturation protease	head and packaging
81	phrog_81	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover
82	phrog_82	head closure Hc1	connector
83	phrog_83	terminase small subunit	head and packaging
84	phrog_84	ribonucleoside-diphosphate reductase large subunit	DNA, RNA and nucleotide metabolism
85	phrog_85	thymidylate synthase	DNA, RNA and nucleotide metabolism
86	phrog_86	ribonucleoside diphosphate reductase small subunit	DNA, RNA and nucleotide metabolism
87	phrog_87	metallo-protease	other
88	phrog_88	major tail protein	tail
89	phrog_89	Rz-like spanin	lysis
90	phrog_90	endolysin	lysis
91	phrog_91	nicking at origin of replication	DNA, RNA and nucleotide metabolism
92	phrog_92	DNA packaging chaperone FI	head and packaging
93	phrog_93	endonuclease	DNA, RNA and nucleotide metabolism
94	phrog_94	head maturation protease	head and packaging
95	phrog_95	integrase	integration and excision
96	phrog_96	HNH endonuclease	DNA, RNA and nucleotide metabolism
97	phrog_97	UvsX-like recombinase	other
98	phrog_98	NA	unknown function
99	phrog_99	HNH endonuclease	DNA, RNA and nucleotide metabolism
100	phrog_100	SbcD-like subunit of palindrome specific endonuclease	DNA, RNA and nucleotide metabolism
101	phrog_101	CII-like transcriptional activator	transcription regulation
102	phrog_102	endolysin	lysis
103	phrog_103	tail protein	tail
104	phrog_104	portal protein	head and packaging
105	phrog_105	tail fiber assembly	tail
106	phrog_106	minor tail protein	tail
107	phrog_107	exonuclease	DNA, RNA and nucleotide metabolism
108	phrog_108	Lom outer membrane protein	other
109	phrog_109	P-like helicase loader	DNA, RNA and nucleotide metabolism
110	phrog_110	minor tail protein	tail
111	phrog_111	DNA methyltransferase	other
112	phrog_112	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	DNA, RNA and nucleotide metabolism
113	phrog_113	portal protein	head and packaging
114	phrog_114	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism
115	phrog_115	minor head protein	head and packaging
116	phrog_116	DNA methyltransferase	other
117	phrog_117	major tail protein	tail
118	phrog_118	head-tail adaptor	connector
119	phrog_119	HNH endonuclease	DNA, RNA and nucleotide metabolism
120	phrog_120	baseplate wedge subunit	tail
121	phrog_121	NA	unknown function
122	phrog_122	head decoration	head and packaging
123	phrog_123	tail terminator	connector
124	phrog_124	Sak4-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
125	phrog_125	DNA invertase	DNA, RNA and nucleotide metabolism
126	phrog_126	holin/anti-holin	lysis
127	phrog_127	anti-termination protein Q-like	transcription regulation
128	phrog_128	NA	unknown function
129	phrog_129	transcriptional regulator	transcription regulation
130	phrog_130	anti-repressor Ant	transcription regulation
131	phrog_131	HNH endonuclease	DNA, RNA and nucleotide metabolism
132	phrog_132	head-tail adaptor	connector
133	phrog_133	head maturation protease	head and packaging
134	phrog_134	NA	unknown function
135	phrog_135	dUTPase	DNA, RNA and nucleotide metabolism
136	phrog_136	tail fiber assembly protein	tail
137	phrog_137	head-tail adaptor Ad1	connector
138	phrog_138	major head protein	head and packaging
139	phrog_139	deoxynucleoside monophosphate kinase	other
140	phrog_140	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
141	phrog_141	terminase small subunit	head and packaging
142	phrog_142	Ren-like exclusion protein	moron, auxiliary metabolic gene and host takeover
143	phrog_143	NA	unknown function
144	phrog_144	HNH endonuclease	DNA, RNA and nucleotide metabolism
145	phrog_145	portal protein	head and packaging
146	phrog_146	portal protein	head and packaging
147	phrog_147	transcriptional regulator	transcription regulation
148	phrog_148	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
149	phrog_149	exonuclease	DNA, RNA and nucleotide metabolism
150	phrog_150	baseplate hub	tail
151	phrog_151	transposase	integration and excision
152	phrog_152	RinB-like transcriptional activator	transcription regulation
153	phrog_153	minor tail protein	tail
154	phrog_154	replication initiation protein	DNA, RNA and nucleotide metabolism
155	phrog_155	Erf-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
156	phrog_156	portal protein	head and packaging
157	phrog_157	transposase	integration and excision
158	phrog_158	major tail protein	tail
159	phrog_159	RuvC-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
160	phrog_160	thymidylate synthase	DNA, RNA and nucleotide metabolism
161	phrog_161	head closure Hc1	connector
162	phrog_162	endolysin	lysis
163	phrog_163	CII-like transcriptional activator	transcription regulation
164	phrog_164	ParA-like partition protein	DNA, RNA and nucleotide metabolism
165	phrog_165	tail sheath	tail
166	phrog_166	tail protein	tail
167	phrog_167	tail length tape measure protein	tail
168	phrog_168	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism
169	phrog_169	tail completion or Neck1 protein	connector
170	phrog_170	PhoH-like phosphate starvation-inducible	other
171	phrog_171	NinG/ Rap DNA junction specific endonuclease	DNA, RNA and nucleotide metabolism
172	phrog_172	head scaffolding protein	head and packaging
173	phrog_173	nucleoside triphosphate pyrophosphohydrolase	DNA, RNA and nucleotide metabolism
174	phrog_174	dCMP deaminase	DNA, RNA and nucleotide metabolism
175	phrog_175	holin	lysis
176	phrog_176	tail terminator	connector
177	phrog_177	baseplate hub	tail
178	phrog_178	high light inducible protein	other
179	phrog_179	tail terminator	connector
180	phrog_180	baseplate wedge subunit	tail
181	phrog_181	endolysin	lysis
182	phrog_182	photosystem II D1	moron, auxiliary metabolic gene and host takeover
183	phrog_183	tail chaperone protein	tail
184	phrog_184	baseplate hub	tail
185	phrog_185	tail tube protein	tail
186	phrog_186	DnaD-like helicase loader	DNA, RNA and nucleotide metabolism
187	phrog_187	head-tail adaptor	connector
188	phrog_188	tail fiber assembly protein	tail
189	phrog_189	RecA filament binding protein DinI	DNA, RNA and nucleotide metabolism
190	phrog_190	Holliday junction resolvase	DNA, RNA and nucleotide metabolism
191	phrog_191	CII-like transcriptional activator	transcription regulation
192	phrog_192	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
193	phrog_193	head maturation protease	head and packaging
194	phrog_194	head scaffolding protein	head and packaging
195	phrog_195	head-tail adaptor	connector
196	phrog_196	baseplate hub	tail
197	phrog_197	Zot-like toxin	moron, auxiliary metabolic gene and host takeover
198	phrog_198	holin	lysis
199	phrog_199	holin	lysis
200	phrog_200	lipoprotein	other
201	phrog_201	Panton-Valentine leukocicin	DNA, RNA and nucleotide metabolism
202	phrog_202	distal tail protein Dit	tail
203	phrog_203	baseplate wedge subunit	tail
204	phrog_204	NA	unknown function
205	phrog_205	tail sheath	tail
206	phrog_206	head scaffolding protein	head and packaging
207	phrog_207	head maturation protease	head and packaging
208	phrog_208	NA	unknown function
209	phrog_209	portal protein	head and packaging
210	phrog_210	NA	unknown function
211	phrog_211	head-tail adaptor Ad2	connector
212	phrog_212	major head protein	head and packaging
213	phrog_213	portal protein	head and packaging
214	phrog_214	Rz-like spanin	lysis
215	phrog_215	structural protein with Ig domain	head and packaging
216	phrog_216	integrase	integration and excision
217	phrog_217	holin	lysis
218	phrog_218	head closure	connector
219	phrog_219	baseplate wedge subunit	tail
220	phrog_220	minor head protein and DNA pilot	head and packaging
221	phrog_221	metallo-phosphoesterase	other
222	phrog_222	tail completion or Neck1 protein	connector
223	phrog_223	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism
224	phrog_224	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
225	phrog_225	clamp loader of DNA polymerase	DNA, RNA and nucleotide metabolism
226	phrog_226	minor tail protein	tail
227	phrog_227	tail sheath stabilizer	tail
228	phrog_228	Arc-like repressor	transcription regulation
229	phrog_229	MazG-like pyrophosphatase	other
230	phrog_230	baseplate tail tube cap	tail
231	phrog_231	UvsY-like recombination mediator	DNA, RNA and nucleotide metabolism
232	phrog_232	baseplate wedge subunit	tail
233	phrog_233	head scaffolding protein	head and packaging
234	phrog_234	late sigma transcription factor	transcription regulation
235	phrog_235	NA	unknown function
236	phrog_236	nucleotide kinase	other
237	phrog_237	head scaffolding protein	head and packaging
238	phrog_238	major tail protein	tail
239	phrog_239	DNA primase/helicase	DNA, RNA and nucleotide metabolism
240	phrog_240	head protein	head and packaging
241	phrog_241	head morphogenesis	head and packaging
242	phrog_242	translation repressor	other
243	phrog_243	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism
244	phrog_244	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism
245	phrog_245	anti-repressor Ant	transcription regulation
246	phrog_246	NinI-like serine-threonine phosphatase	other
247	phrog_247	major head protein	head and packaging
248	phrog_248	transcriptional activator	transcription regulation
249	phrog_249	porphyrin biosynthesis	moron, auxiliary metabolic gene and host takeover
250	phrog_250	NA	unknown function
251	phrog_251	MokW-like host killing	moron, auxiliary metabolic gene and host takeover
252	phrog_252	Bet-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
253	phrog_253	Mu Gam-like end protection	DNA, RNA and nucleotide metabolism
254	phrog_254	late promoter transcriptional regulator	transcription regulation
255	phrog_255	exonuclease	DNA, RNA and nucleotide metabolism
256	phrog_256	DNA helicase	DNA, RNA and nucleotide metabolism
257	phrog_257	minor tail protein	tail
258	phrog_258	virulence associated	other
259	phrog_259	gam-like host nuclease inhibitor	moron, auxiliary metabolic gene and host takeover
260	phrog_260	Bor-like outer membrane protein	other
261	phrog_261	baseplate wedge subunit	tail
262	phrog_262	DNA polymerase	DNA, RNA and nucleotide metabolism
263	phrog_263	holin	lysis
264	phrog_264	major head protein	head and packaging
265	phrog_265	replication initiation protein	DNA, RNA and nucleotide metabolism
266	phrog_266	NA	unknown function
267	phrog_267	major head protein	head and packaging
268	phrog_268	NA	unknown function
269	phrog_269	DNA helicase loader	DNA, RNA and nucleotide metabolism
270	phrog_270	replication initiation protein	DNA, RNA and nucleotide metabolism
271	phrog_271	anti-termination protein N-like	transcription regulation
272	phrog_272	Cox-like excisionase and repressor	integration and excision
273	phrog_273	NA	unknown function
274	phrog_274	DNA endonuclease V	DNA, RNA and nucleotide metabolism
275	phrog_275	NA	unknown function
276	phrog_276	NA	unknown function
277	phrog_277	replication initiation O-like	DNA, RNA and nucleotide metabolism
278	phrog_278	transcriptional regulator	transcription regulation
279	phrog_279	tail sheath	tail
280	phrog_280	virion structural protein	head and packaging
281	phrog_281	PAAR motif of membran proteins	moron, auxiliary metabolic gene and host takeover
282	phrog_282	NA	unknown function
283	phrog_283	major head protein	head and packaging
284	phrog_284	exonuclease	DNA, RNA and nucleotide metabolism
285	phrog_285	NA	unknown function
286	phrog_286	NA	unknown function
287	phrog_287	minor tail protein	tail
288	phrog_288	NA	unknown function
289	phrog_289	GTP-binding domain	other
290	phrog_290	minor tail protein	tail
291	phrog_291	endolysin	lysis
292	phrog_292	NA	unknown function
293	phrog_293	ABC transporter	moron, auxiliary metabolic gene and host takeover
294	phrog_294	Kil protein for bacterial septation inhibition	other
295	phrog_295	tail fiber protein	tail
296	phrog_296	DNA transposition protein	integration and excision
297	phrog_297	holin	lysis
298	phrog_298	exonuclease	DNA, RNA and nucleotide metabolism
299	phrog_299	NA	unknown function
300	phrog_300	tail fiber protein	tail
301	phrog_301	secreted protein	other
302	phrog_302	virion structural protein	head and packaging
303	phrog_303	NA	unknown function
304	phrog_304	anti-termination protein Q-like	transcription regulation
305	phrog_305	tail length tape measure protein	tail
306	phrog_306	minor head protein Ace-like	head and packaging
307	phrog_307	endonuclease VII	DNA, RNA and nucleotide metabolism
308	phrog_308	internal virion protein	head and packaging
309	phrog_309	terminase small subunit	head and packaging
310	phrog_310	transposase	integration and excision
311	phrog_311	NA	unknown function
312	phrog_312	Rz-like spanin	lysis
313	phrog_313	Tail assembly chaperone	tail
314	phrog_314	homing endonuclease	DNA, RNA and nucleotide metabolism
315	phrog_315	endolysin	lysis
316	phrog_316	dihydrofolate reductase	DNA, RNA and nucleotide metabolism
317	phrog_317	endolysin	lysis
318	phrog_318	deoxyribonucleoside 5' monophosphate phosphatase	other
319	phrog_319	NinB/ Orf homologous recombination mediator	DNA, RNA and nucleotide metabolism
320	phrog_320	head closure Hc1	connector
321	phrog_321	tail completion or Neck1 protein	connector
322	phrog_322	NA	unknown function
323	phrog_323	transcriptional regulator, D5-like	transcription regulation
324	phrog_324	head morphogenesis	head and packaging
325	phrog_325	Dda-like helicase	DNA, RNA and nucleotide metabolism
326	phrog_326	tail protein with endopeptidase domain	other
327	phrog_327	tail protein	tail
328	phrog_328	head maturation protease	head and packaging
329	phrog_329	minor tail protein	tail
330	phrog_330	tail assembly chaperone	tail
331	phrog_331	NA	unknown function
332	phrog_332	head-tail adaptor	connector
333	phrog_333	HNH endonuclease	DNA, RNA and nucleotide metabolism
334	phrog_334	major head protein	head and packaging
335	phrog_335	phosphatase	other
336	phrog_336	NA	unknown function
337	phrog_337	tail protein	tail
338	phrog_338	HNH endonuclease	DNA, RNA and nucleotide metabolism
339	phrog_339	tail length tape measure protein	tail
340	phrog_340	NA	unknown function
341	phrog_341	major tail protein	tail
342	phrog_342	internal virion protein with endolysin domain	head and packaging
343	phrog_343	NA	unknown function
344	phrog_344	tail assembly chaperone	tail
345	phrog_345	replication initiation O-like	DNA, RNA and nucleotide metabolism
346	phrog_346	minor tail protein	tail
347	phrog_347	tail terminator	connector
348	phrog_348	minor head protein	head and packaging
349	phrog_349	virion structural protein	head and packaging
350	phrog_350	tail protein	tail
351	phrog_351	RNA polymerase sigma factor	transcription regulation
352	phrog_352	minor tail protein	tail
353	phrog_353	toxin	moron, auxiliary metabolic gene and host takeover
354	phrog_354	sigma-K factor	transcription regulation
355	phrog_355	nucleoside 2-deoxyribosyltransferase	DNA, RNA and nucleotide metabolism
356	phrog_356	minor tail protein	tail
357	phrog_357	transcriptional repressor	transcription regulation
358	phrog_358	NA	unknown function
359	phrog_359	DNA methyltransferase	other
360	phrog_360	DNA primase	DNA, RNA and nucleotide metabolism
361	phrog_361	terminase small subunit	head and packaging
362	phrog_362	transcriptional repressor	transcription regulation
363	phrog_363	DNA methyltransferase	other
364	phrog_364	ribonucleoside reductase class II	DNA, RNA and nucleotide metabolism
365	phrog_365	tail protein	tail
366	phrog_366	tail fiber protein	tail
367	phrog_367	ribonucleotide reductase	DNA, RNA and nucleotide metabolism
368	phrog_368	NA	unknown function
369	phrog_369	NA	unknown function
370	phrog_370	terminase small subunit	head and packaging
371	phrog_371	major head protein	head and packaging
372	phrog_372	tail protein	tail
373	phrog_373	anti-repressor	transcription regulation
374	phrog_374	HNH endonuclease	DNA, RNA and nucleotide metabolism
375	phrog_375	Phd-like antitoxin	moron, auxiliary metabolic gene and host takeover
376	phrog_376	tail protein	tail
377	phrog_377	anti-repressor Ant	transcription regulation
378	phrog_378	single strand DNA binding protein	DNA, RNA and nucleotide metabolism
379	phrog_379	DNA binding protein	DNA, RNA and nucleotide metabolism
380	phrog_380	endolysin	lysis
381	phrog_381	tail fiber protein	tail
382	phrog_382	minor tail protein with lysin activity	tail
383	phrog_383	NA	unknown function
384	phrog_384	virion structural protein	head and packaging
385	phrog_385	transcriptional regulator	transcription regulation
386	phrog_386	NA	unknown function
387	phrog_387	neck protein	connector
388	phrog_388	nucleotidyltransferase	DNA, RNA and nucleotide metabolism
389	phrog_389	tail protein XkdN-like	tail
390	phrog_390	Arc-like repressor	transcription regulation
391	phrog_391	replication initiation O-like	DNA, RNA and nucleotide metabolism
392	phrog_392	metal-dependent hydrolase	other
393	phrog_393	tail assembly chaperone	tail
394	phrog_394	tail protein	tail
395	phrog_395	cytidyltransferase	other
396	phrog_396	minor tail protein	tail
397	phrog_397	NA	unknown function
398	phrog_398	NA	unknown function
399	phrog_399	structural protein	head and packaging
400	phrog_400	tail protein	tail
401	phrog_401	NA	unknown function
402	phrog_402	NA	unknown function
403	phrog_403	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism
404	phrog_404	minor tail protein	tail
405	phrog_405	DNA polymerase	DNA, RNA and nucleotide metabolism
406	phrog_406	NA	unknown function
407	phrog_407	NA	unknown function
408	phrog_408	NA	unknown function
409	phrog_409	transcriptional regulator	transcription regulation
410	phrog_410	NA	unknown function
411	phrog_411	NA	unknown function
412	phrog_412	exonuclease VIII	DNA, RNA and nucleotide metabolism
413	phrog_413	head protein	head and packaging
414	phrog_414	RNA polymerase	DNA, RNA and nucleotide metabolism
415	phrog_415	polynucleotide kinase	other
416	phrog_416	minor tail protein	tail
417	phrog_417	NA	unknown function
418	phrog_418	internal virion protein	head and packaging
419	phrog_419	NA	unknown function
420	phrog_420	unknown function	unknown function
421	phrog_421	unknown function	unknown function
422	phrog_422	major head protein	head and packaging
423	phrog_423	endonuclease VII	DNA, RNA and nucleotide metabolism
424	phrog_424	phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover
425	phrog_425	membrane associated protein	moron, auxiliary metabolic gene and host takeover
426	phrog_426	terminase small subunit	head and packaging
427	phrog_427	NA	unknown function
428	phrog_428	replication initiation protein	DNA, RNA and nucleotide metabolism
429	phrog_429	DNA end protector	DNA, RNA and nucleotide metabolism
430	phrog_430	baseplate hub subunit and tail lysozyme	tail
431	phrog_431	NA	unknown function
432	phrog_432	Hsp20 heat shock protein	other
433	phrog_433	NA	unknown function
434	phrog_434	RecE-like recombination exonuclease	DNA, RNA and nucleotide metabolism
435	phrog_435	endolysin	lysis
436	phrog_436	NA	unknown function
437	phrog_437	virion structural protein	head and packaging
438	phrog_438	baseplate wedge subunit	tail
439	phrog_439	site-specific recombination directionality factor RDF	integration and excision
440	phrog_440	transaldolase	other
441	phrog_441	tail assembly chaperone	tail
442	phrog_442	head-tail adaptor	connector
443	phrog_443	holin	lysis
444	phrog_444	NA	unknown function
445	phrog_445	terminase small subunit	head and packaging
446	phrog_446	tail protein	tail
447	phrog_447	NAD synthetase	other
448	phrog_448	nicotinamide phosphoribosyl transferase	other
449	phrog_449	head-tail adaptor	connector
450	phrog_450	NA	unknown function
451	phrog_451	NA	unknown function
452	phrog_452	endonuclease	DNA, RNA and nucleotide metabolism
453	phrog_453	replication initiation protein	DNA, RNA and nucleotide metabolism
454	phrog_454	tail fiber protein	tail
455	phrog_455	NA	unknown function
456	phrog_456	Rz-like spanin	lysis
457	phrog_457	tail protein	tail
458	phrog_458	protease	other
459	phrog_459	peptidase	other
460	phrog_460	head closure Hc2	connector
461	phrog_461	NA	unknown function
462	phrog_462	lipoprotein	other
463	phrog_463	anti-repressor	transcription regulation
464	phrog_464	unknown function	unknown function
465	phrog_465	endolysin	lysis
466	phrog_466	exonuclease	DNA, RNA and nucleotide metabolism
467	phrog_467	NA	unknown function
468	phrog_468	NA	unknown function
469	phrog_469	tail protein	tail
470	phrog_470	NA	unknown function
471	phrog_471	methylamine utilization	other
472	phrog_472	WhiB transcriptional factor	transcription regulation
473	phrog_473	virion structural protein	head and packaging
474	phrog_474	phosphofructokinase	other
475	phrog_475	NA	unknown function
476	phrog_476	major tail protein	tail
477	phrog_477	head-tail adaptor Ad1	connector
478	phrog_478	site-specific recombination directionality factor RDF	integration and excision
479	phrog_479	NA	unknown function
480	phrog_480	NA	unknown function
481	phrog_481	NA	unknown function
482	phrog_482	NA	unknown function
483	phrog_483	NA	unknown function
484	phrog_484	NA	unknown function
485	phrog_485	NA	unknown function
486	phrog_486	virion structural protein	head and packaging
487	phrog_487	NrdD-like anaerobic ribonucleotide reductase large subunit	moron, auxiliary metabolic gene and host takeover
488	phrog_488	CpeT-like antenna protein	moron, auxiliary metabolic gene and host takeover
489	phrog_489	endolysin	lysis
490	phrog_490	portal protein	head and packaging
491	phrog_491	Mu Gam-like end protection	DNA, RNA and nucleotide metabolism
492	phrog_492	NA	unknown function
493	phrog_493	head-tail adaptor Ad1	connector
494	phrog_494	NA	unknown function
495	phrog_495	NA	unknown function
496	phrog_496	tail fiber protein	tail
497	phrog_497	toxin-antitoxin system HicB-like	moron, auxiliary metabolic gene and host takeover
498	phrog_498	DNA methyltransferase	other
499	phrog_499	NA	unknown function
500	phrog_500	NA	unknown function
501	phrog_501	head closure Hc1	connector
502	phrog_502	membrane protein	moron, auxiliary metabolic gene and host takeover
503	phrog_503	NA	unknown function
504	phrog_504	NA	unknown function
505	phrog_505	polynucleotide kinase	other
506	phrog_506	transposase	integration and excision
507	phrog_507	NA	unknown function
508	phrog_508	tail assembly chaperone	tail
509	phrog_509	terminase small subunit	head and packaging
510	phrog_510	DNA primase	DNA, RNA and nucleotide metabolism
511	phrog_511	internal virion protein	head and packaging
512	phrog_512	NA	unknown function
513	phrog_513	transposase	integration and excision
514	phrog_514	major head protein	head and packaging
515	phrog_515	PetE plastocyanine	other
516	phrog_516	NA	unknown function
517	phrog_517	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
518	phrog_518	Rha-like transcriptional regulator	transcription regulation
519	phrog_519	NA	unknown function
520	phrog_520	NA	unknown function
521	phrog_521	tail protein	tail
522	phrog_522	NA	unknown function
523	phrog_523	tail collar fiber protein	tail
524	phrog_524	anti-repressor Ant	transcription regulation
525	phrog_525	NA	unknown function
526	phrog_526	holin	lysis
527	phrog_527	NA	unknown function
528	phrog_528	NA	unknown function
529	phrog_529	tail fiber protein	tail
530	phrog_530	head maturation protease	head and packaging
531	phrog_531	Rnase H	DNA, RNA and nucleotide metabolism
532	phrog_532	late transcriptional activator	transcription regulation
533	phrog_533	portal protein	head and packaging
534	phrog_534	DNA binding protein	DNA, RNA and nucleotide metabolism
535	phrog_535	NA	unknown function
536	phrog_536	transcriptional regulator	transcription regulation
537	phrog_537	portal protein	head and packaging
538	phrog_538	minor tail protein	tail
539	phrog_539	excisionase	integration and excision
540	phrog_540	nucleotide-sugar epimerase	DNA, RNA and nucleotide metabolism
541	phrog_541	head-tail adaptor	connector
542	phrog_542	NA	unknown function
543	phrog_543	DNA topoisomerase II large subunit	DNA, RNA and nucleotide metabolism
544	phrog_544	major head protein	head and packaging
545	phrog_545	NA	unknown function
546	phrog_546	NA	unknown function
547	phrog_547	phosphoesterase	other
548	phrog_548	RNA ligase	DNA, RNA and nucleotide metabolism
549	phrog_549	NA	unknown function
550	phrog_550	CIII anti-termination	transcription regulation
551	phrog_551	DNA topoisomerase II	DNA, RNA and nucleotide metabolism
552	phrog_552	NA	unknown function
553	phrog_553	minor tail protein	tail
554	phrog_554	NA	unknown function
555	phrog_555	NA	unknown function
556	phrog_556	minor head protein	head and packaging
557	phrog_557	outer membrane protein	other
558	phrog_558	NA	unknown function
559	phrog_559	HNH endonuclease	DNA, RNA and nucleotide metabolism
560	phrog_560	NA	unknown function
561	phrog_561	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
562	phrog_562	RNA ligase and tail fiber protein attachment catalyst	tail
563	phrog_563	virion structural protein	head and packaging
564	phrog_564	NA	unknown function
565	phrog_565	holin	lysis
566	phrog_566	NA	unknown function
567	phrog_567	NA	unknown function
568	phrog_568	plasmid stability	DNA, RNA and nucleotide metabolism
569	phrog_569	tail length tape measure protein	tail
570	phrog_570	NA	unknown function
571	phrog_571	NA	unknown function
572	phrog_572	NA	unknown function
573	phrog_573	NA	unknown function
574	phrog_574	NA	unknown function
575	phrog_575	Cox-like excisionase and repressor	integration and excision
576	phrog_576	tail fiber protein	tail
577	phrog_577	Doc-like toxin	moron, auxiliary metabolic gene and host takeover
578	phrog_578	head closure Hc3	connector
579	phrog_579	NA	unknown function
580	phrog_580	NA	unknown function
581	phrog_581	minor head protein	head and packaging
582	phrog_582	Arc-like repressor	transcription regulation
583	phrog_583	NA	unknown function
584	phrog_584	major tail protein	tail
585	phrog_585	NA	unknown function
586	phrog_586	NA	unknown function
587	phrog_587	structural protein	head and packaging
588	phrog_588	tail fiber protein and host specificity	tail
589	phrog_589	HNH endonuclease	DNA, RNA and nucleotide metabolism
590	phrog_590	NA	unknown function
591	phrog_591	NA	unknown function
592	phrog_592	thymidine kinase	other
593	phrog_593	NA	unknown function
594	phrog_594	NA	unknown function
595	phrog_595	head maturation protease	head and packaging
596	phrog_596	NA	unknown function
597	phrog_597	DNA binding protein	DNA, RNA and nucleotide metabolism
598	phrog_598	DNA ejection	DNA, RNA and nucleotide metabolism
599	phrog_599	Lar-like restriction alleviation protein	moron, auxiliary metabolic gene and host takeover
