phrog_id	phrog	annot	category
2163	phrog_2163	virion structural protein	head and packaging
2164	phrog_2164	NA	unknown function
2165	phrog_2165	DNA helicase	DNA, RNA and nucleotide metabolism
2166	phrog_2166	N4-like RNA polymerase	DNA, RNA and nucleotide metabolism
2167	phrog_2167	inhibitor of host Lon protease	other
2168	phrog_2168	NA	unknown function
2169	phrog_2169	membrane protein	moron, auxiliary metabolic gene and host takeover
2170	phrog_2170	glycosyltransferase	moron, auxiliary metabolic gene and host takeover
2171	phrog_2171	NA	unknown function
2172	phrog_2172	NA	unknown function
2173	phrog_2173	NA	unknown function
2174	phrog_2174	NA	unknown function
2175	phrog_2175	protein with Ig domain	other
2176	phrog_2176	NA	unknown function
2177	phrog_2177	NA	unknown function
2178	phrog_2178	NA	unknown function
2179	phrog_2179	NA	unknown function
2180	phrog_2180	NA	unknown function
2181	phrog_2181	NA	unknown function
2182	phrog_2182	NA	unknown function
2183	phrog_2183	unknown function	unknown function
2184	phrog_2184	NA	unknown function
2185	phrog_2185	RecT-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
2186	phrog_2186	virion structural protein	head and packaging
2187	phrog_2187	NA	unknown function
2188	phrog_2188	NA	unknown function
2189	phrog_2189	tail protein	tail
2190	phrog_2190	replication initiation protein	DNA, RNA and nucleotide metabolism
2191	phrog_2191	NA	unknown function
2192	phrog_2192	NA	unknown function
2193	phrog_2193	NA	unknown function
2194	phrog_2194	NA	unknown function
2195	phrog_2195	NA	unknown function
2196	phrog_2196	NA	unknown function
2197	phrog_2197	GTP cyclohydrolase	other
2198	phrog_2198	Alt-like transcription activator	transcription regulation
2199	phrog_2199	transposase	integration and excision
2200	phrog_2200	NA	unknown function
2201	phrog_2201	NA	unknown function
2202	phrog_2202	NA	unknown function
2203	phrog_2203	membrane protein	moron, auxiliary metabolic gene and host takeover
2204	phrog_2204	glycerophosphoryl diester phosphodiesterase	other
2205	phrog_2205	Mu Gam-like end protection	DNA, RNA and nucleotide metabolism
2206	phrog_2206	virion RNA polymerase	DNA, RNA and nucleotide metabolism
2207	phrog_2207	NA	unknown function
2208	phrog_2208	NA	unknown function
2209	phrog_2209	NA	unknown function
2210	phrog_2210	NA	unknown function
2211	phrog_2211	NA	unknown function
2212	phrog_2212	NA	unknown function
2213	phrog_2213	nucleoside triphosphate pyrophosphohydrolase	other
2214	phrog_2214	HNH endonuclease	DNA, RNA and nucleotide metabolism
2215	phrog_2215	NA	unknown function
2216	phrog_2216	NA	unknown function
2217	phrog_2217	NA	unknown function
2218	phrog_2218	NA	unknown function
2219	phrog_2219	NA	unknown function
2220	phrog_2220	NA	unknown function
2221	phrog_2221	NA	unknown function
2222	phrog_2222	NA	unknown function
2223	phrog_2223	NA	unknown function
2224	phrog_2224	GtrA-like O-antigen conversion	moron, auxiliary metabolic gene and host takeover
2225	phrog_2225	peptidase	other
2226	phrog_2226	SAM-dependent methyltransferase	other
2227	phrog_2227	NA	unknown function
2228	phrog_2228	NA	unknown function
2229	phrog_2229	head maturation protease	head and packaging
2230	phrog_2230	NA	unknown function
2231	phrog_2231	NA	unknown function
2232	phrog_2232	NA	unknown function
2233	phrog_2233	NA	unknown function
2234	phrog_2234	tail spike protein	tail
2235	phrog_2235	minor tail protein	tail
2236	phrog_2236	NA	unknown function
2237	phrog_2237	NA	unknown function
2238	phrog_2238	NA	unknown function
2239	phrog_2239	NA	unknown function
2240	phrog_2240	NA	unknown function
2241	phrog_2241	NA	unknown function
2242	phrog_2242	NA	unknown function
2243	phrog_2243	NA	unknown function
2244	phrog_2244	tRNA nucleotidyltransferase	DNA, RNA and nucleotide metabolism
2245	phrog_2245	nucleoside triphosphate pyrophosphohydrolase	other
2246	phrog_2246	NA	unknown function
2247	phrog_2247	NA	unknown function
2248	phrog_2248	tail protein	tail
2249	phrog_2249	DNA primase	DNA, RNA and nucleotide metabolism
2250	phrog_2250	NA	unknown function
2251	phrog_2251	NA	unknown function
2252	phrog_2252	endolysin; inhibits RNA polymerase	lysis
2253	phrog_2253	NA	unknown function
2254	phrog_2254	NA	unknown function
2255	phrog_2255	HNH endonuclease	DNA, RNA and nucleotide metabolism
2256	phrog_2256	NA	unknown function
2257	phrog_2257	unknown function	unknown function
2258	phrog_2258	baseplate protein	tail
2259	phrog_2259	Rnase H	DNA, RNA and nucleotide metabolism
2260	phrog_2260	NA	unknown function
2261	phrog_2261	NA	unknown function
2262	phrog_2262	transposase	integration and excision
2263	phrog_2263	major head protein	head and packaging
2264	phrog_2264	NA	unknown function
2265	phrog_2265	NA	unknown function
2266	phrog_2266	NA	unknown function
2267	phrog_2267	NA	unknown function
2268	phrog_2268	antitoxin from a toxin-antitoxin system	moron, auxiliary metabolic gene and host takeover
2269	phrog_2269	NA	unknown function
2270	phrog_2270	NA	unknown function
2271	phrog_2271	portal protein	head and packaging
2272	phrog_2272	NA	unknown function
2273	phrog_2273	NA	unknown function
2274	phrog_2274	unknown function	unknown function
2275	phrog_2275	NA	unknown function
2276	phrog_2276	tail length tape measure protein	tail
2277	phrog_2277	NA	unknown function
2278	phrog_2278	NA	unknown function
2279	phrog_2279	NA	unknown function
2280	phrog_2280	NA	unknown function
2281	phrog_2281	peroxyredoxin antioxidant	other
2282	phrog_2282	tail fiber protein	tail
2283	phrog_2283	NA	unknown function
2284	phrog_2284	NA	unknown function
2285	phrog_2285	NA	unknown function
2286	phrog_2286	NA	unknown function
2287	phrog_2287	NA	unknown function
2288	phrog_2288	NA	unknown function
2289	phrog_2289	helicase loader	DNA, RNA and nucleotide metabolism
2290	phrog_2290	NA	unknown function
2291	phrog_2291	NA	unknown function
2292	phrog_2292	NA	unknown function
2293	phrog_2293	NA	unknown function
2294	phrog_2294	ribonucleotide reductase	DNA, RNA and nucleotide metabolism
2295	phrog_2295	NA	unknown function
2296	phrog_2296	NA	unknown function
2297	phrog_2297	DNA endonuclease	DNA, RNA and nucleotide metabolism
2298	phrog_2298	NA	unknown function
2299	phrog_2299	NA	unknown function
2300	phrog_2300	NA	unknown function
2301	phrog_2301	NA	unknown function
2302	phrog_2302	phosphoadenosine phosphosulfate reductase	moron, auxiliary metabolic gene and host takeover
2303	phrog_2303	head scaffolding protein	head and packaging
2304	phrog_2304	DNA primase	DNA, RNA and nucleotide metabolism
2305	phrog_2305	NA	unknown function
2306	phrog_2306	NA	unknown function
2307	phrog_2307	L-alanyl-D-glutamate peptidase	other
2308	phrog_2308	NA	unknown function
2309	phrog_2309	NA	unknown function
2310	phrog_2310	NA	unknown function
2311	phrog_2311	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
2312	phrog_2312	NA	unknown function
2313	phrog_2313	NA	unknown function
2314	phrog_2314	NA	unknown function
2315	phrog_2315	NA	unknown function
2316	phrog_2316	NA	unknown function
2317	phrog_2317	NA	unknown function
2318	phrog_2318	NA	unknown function
2319	phrog_2319	NA	unknown function
2320	phrog_2320	NA	unknown function
2321	phrog_2321	Ref-like RecA filament endonuclease	DNA, RNA and nucleotide metabolism
2322	phrog_2322	head-tail connector protein	connector
2323	phrog_2323	HNH endonuclease	DNA, RNA and nucleotide metabolism
2324	phrog_2324	Erf-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism
2325	phrog_2325	minor tail protein	tail
2326	phrog_2326	NA	unknown function
2327	phrog_2327	NA	unknown function
2328	phrog_2328	transcriptional repressor	transcription regulation
2329	phrog_2329	NA	unknown function
2330	phrog_2330	unknown function	unknown function
2331	phrog_2331	transposase	integration and excision
2332	phrog_2332	hyaluronidase	other
2333	phrog_2333	unknown function	unknown function
2334	phrog_2334	transcriptional regulator	transcription regulation
2335	phrog_2335	tail length tape measure protein	tail
2336	phrog_2336	NA	unknown function
2337	phrog_2337	tail length tape measure protein	tail
2338	phrog_2338	endolysin	lysis
2339	phrog_2339	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
2340	phrog_2340	endonuclease	DNA, RNA and nucleotide metabolism
2341	phrog_2341	NA	unknown function
2342	phrog_2342	NA	unknown function
2343	phrog_2343	terminase small subunit	head and packaging
2344	phrog_2344	NA	unknown function
2345	phrog_2345	transcriptional regulator	transcription regulation
2346	phrog_2346	NA	unknown function
2347	phrog_2347	NA	unknown function
2348	phrog_2348	NA	unknown function
2349	phrog_2349	NA	unknown function
2350	phrog_2350	NA	unknown function
2351	phrog_2351	NA	unknown function
2352	phrog_2352	NA	unknown function
2353	phrog_2353	major head protein	head and packaging
2354	phrog_2354	DNA condensation	DNA, RNA and nucleotide metabolism
2355	phrog_2355	NA	unknown function
2356	phrog_2356	NA	unknown function
2357	phrog_2357	NA	unknown function
2358	phrog_2358	NA	unknown function
2359	phrog_2359	holin	lysis
2360	phrog_2360	NA	unknown function
2361	phrog_2361	serine-threonine kinase	other
2362	phrog_2362	NA	unknown function
2363	phrog_2363	NA	unknown function
2364	phrog_2364	NA	unknown function
2365	phrog_2365	replication initiation O-like	DNA, RNA and nucleotide metabolism
2366	phrog_2366	NA	unknown function
2367	phrog_2367	NA	unknown function
2368	phrog_2368	NA	unknown function
2369	phrog_2369	dCMP deaminase	DNA, RNA and nucleotide metabolism
2370	phrog_2370	neck passage structure	connector
2371	phrog_2371	NA	unknown function
2372	phrog_2372	NA	unknown function
2373	phrog_2373	DNA helicase	DNA, RNA and nucleotide metabolism
2374	phrog_2374	NA	unknown function
2375	phrog_2375	NA	unknown function
2376	phrog_2376	ATPase	other
2377	phrog_2377	head-tail adaptor Ad1	connector
2378	phrog_2378	NA	unknown function
2379	phrog_2379	anti-repressor	transcription regulation
2380	phrog_2380	NA	unknown function
2381	phrog_2381	NA	unknown function
2382	phrog_2382	NA	unknown function
2383	phrog_2383	NA	unknown function
